id,filename,passage_id,material,tcValue,pressure,me_method,text
0,PR06014617,4|4,x = 0.10,30,,,"The measured T c 's are 30, 37.7, 36, 27.5 and 20.3 K for x = 0.10, 0.15, 0.20, 0.22 and 0.24, re- spectively."
11,PR05003221,3|0,x=0.15,42K,∼2 GPa,,"International Symposium on Lattice Effects in Cuprate High Temperature Superconductors IOP Publishing Journal of Physics: Conference Series 108 (2008) 012024 doi:10.1088/1742-6596/108/1/012024 c 2008 IOP Publishing Ltd increase of the superconducting transition temperature with pressure, dT c /dp occurs for the x=0.15 compound, and T c increases from 38 K, at ambient pressure, to 42K at ∼2 GPa."
12,PR05713422,2|0,slightly overdoped HgBa 2 CuO 4+δ (Hg-1201),93 K,,,In a recent study 1 of the c-axis coupling of d-wave high-T c cuprates we reported the values and tempera- ture (T) dependences of the in-plane (λ ab ) and out-of- plane (λ c ) penetration depths for slightly overdoped HgBa 2 CuO 4+δ (Hg-1201) with critical temperature T c = 93 K and slightly underdoped HgBa 2 Ca 2 Cu 3 O 8+δ (Hg-1223) with T c = 135 K.
13,PR05713422,2|0,slightly underdoped HgBa 2 Ca 2 Cu 3 O 8+δ (Hg-1223),135 K,,,In a recent study 1 of the c-axis coupling of d-wave high-T c cuprates we reported the values and tempera- ture (T) dependences of the in-plane (λ ab ) and out-of- plane (λ c ) penetration depths for slightly overdoped HgBa 2 CuO 4+δ (Hg-1201) with critical temperature T c = 93 K and slightly underdoped HgBa 2 Ca 2 Cu 3 O 8+δ (Hg-1223) with T c = 135 K.
14,PR05713422,3|2,YBCO 7,92 K,,susceptibility,
15,PR05713422,3|4,YBCO 6.7,66 K,,susceptibility,
16,PR05713422,3|4,YBCO 6.57,56 K,,susceptibility,
17,PR05514152,4|0,Bi 2 Sr 2 CuO 6,< 10 K,,,"Since the normal state dynamics is of special interest for understanding strongly cor- related electron systems, the low T c (< 10 K) of the single layer Bi 2 Sr 2 CuO 6 compound offers the opportunity to examine these features well below the transition temperature of the related double and triple layer systems."
18,PR05514152,6|11,Bi 2 Sr 2 Cu0 6 single crystals,7-8 K,,resistivity,
19,PR05514152,6|11,Bi 2 Sr 2 Cu0 6 single crystals,7-8 K,,susceptibility,
20,PR05814617,3|6,Y- 123,60K,,,"The superconducting-state enhancement for Y-124 is comparable in magnitude to that of T c =60K Y- 123, consistent with the underdoped state of the planes in the double-chain compound."
21,PR05814617,4|1,(189 and 259) were grown in Al 2 O 3 crucibles,72K,,,"Two of these (189 and 259) were grown in Al 2 O 3 crucibles yielding a slight Al contamination, and T c = 72K."
22,PR05814617,4|4,"third crystal (315), grown in Y 2 O 3",80K,,,"The third crystal (315), grown in Y 2 O 3 and without Al contami- nation, had T c = 80K."
23,PR05814617,5|3,Y-123,92K,,,"In all cases the T -dependence is substantially stronger than that of both T c = 92K and 60K Y-123 (solid lines, Fig. )."
24,PR05814617,5|6,Y-123,92K,,,"The low-T maximum values, κ b ≃ 140 and 245 W/mK for samples 189 and 259, respectively (and 500W/mK for crystal 315 by extrapolation), are the largest reported for any cuprate, exceeding the 100W/mK of insulating Nd- 214, 2 and 25-40 W/mK observed in untwinned T c = 92K Y-123."
25,PR05814617,10|1,Y-123,92K,,,Also shown are data for untwinned Tc = 92K Y-123 from Ref. (solid curve) and Ref.
26,PR06103808,2|6,nearly opti- mally doped HgBa 2 CuO 4+x,96K,,,"Furthermore, for nearly opti- mally doped HgBa 2 CuO 4+x (T c = 96K), the values of λ c (0) obtained by vortex imaging and optical measurements are ≃ 8µm and 6µm, respectively."
27,PR06103808,2|7,slightly over- doped HgBa 2 CuO 4+x,93K,,,"How- ever, ac-susceptibility measurements for slightly over- doped HgBa 2 CuO 4+x (T c =93K) give λ c (0) ≃ 1.5µm in agreement with ILT theory."
28,PR06103808,5|0,HgBa 2 CuO 4+x (x=0.10,60 K,,,"The samples studied here were magnetically aligned high quality single-phase powders of La 2−x Sr x CuO 4 (p = x = 0.10, 0.15, 0.20, 0.22 and 0.24) and HgBa 2 CuO 4+x (x=0.10, i.e., p=0.09, with T c =60 K) ."
29,PR06103808,8|1,p ∼ 0.09,60K,,,"Namely, for an underdoped, an almost optimally doped (measured independently by two different techniques), and two overdoped Hg-1201 samples, with p ∼ 0.09 [this work], 0.16 and , 0.18 and 0.23 ±0.01 and T c = (60K, 96K , 96K , 93K and 60K ), the values of the c-axis penetration depth are ≃ (8.5µm, 8 ± 1µm , 6 ± 1µm , 1.5µm and 2µm ), respectively."
30,PR06103808,8|1,0.18,96K,,,"Namely, for an underdoped, an almost optimally doped (measured independently by two different techniques), and two overdoped Hg-1201 samples, with p ∼ 0.09 [this work], 0.16 and , 0.18 and 0.23 ±0.01 and T c = (60K, 96K , 96K , 93K and 60K ), the values of the c-axis penetration depth are ≃ (8.5µm, 8 ± 1µm , 6 ± 1µm , 1.5µm and 2µm ), respectively."
31,PR06103808,8|4,Hg-1201,96K,,,"In the case of Hg-1201 T c,max is cho- sen to be 96K."
32,PR06103808,9|2,Hg-1201,96K,,,
33,PR04310568,2|0,"fully doped orthorhombic RBa 2 Cu 3 O 7−y (R=Y, rare earth)",90 K,,,"GdBa 2 Cu 3 O 7−y (Gd123) has typical behav- ior for fully doped orthorhombic RBa 2 Cu 3 O 7−y (R=Y, rare earth) high-T c cuprates (T c ≈ 90 K, T N ≈ 2.2 K), whereas Pr123 with T N ≈ 17 K is the anomalous member among R123 ."
34,PR06013094,3|3,,3.4K,0,,The pressure was measured in situ by monitoring the T c shift of the small piece of In [T c (p = 0) ≃ 3.4K] included in the pressure cell.
35,PR05809504,1|2,"oxygen-deficient, fluorine-free polycrystalline samples with nominal chemical formula NdFeAsO 1-y",53 K,,,
36,PR05809504,2|0,LaFeAs(O 1-x F x ),26 K,,,The recent discovery of Iron (Fe)-based oxypnictide superconductor LaFeAs(O 1-x F x ) with its superconducting transition temperature (T c ) of 26 K has motivated tremendous interest in scientific community .
37,PR05809504,2|4,oxygen-deficient NdFeAsO 1-y,54 K,,,"On the other hand, we have succeeded to synthesize oxygen-deficient NdFeAsO 1-y with T c = 54 K using high-pressure synthesis technique ."
38,PR05809504,11|2,1-y=0.75 and 0.70,50 K,,magnetic susceptibility,"The sharp drop of the magnetic susceptibility, corresponding to the onset of superconductivity is observed at around 50 K for 1-y=0.75 and 0.70, both in the zero-field cooling (ZFC) and the field cooling (FC) curves."
39,PR05809504,11|5,1-y=0.80,35 K,,magnetic susceptibility,
40,PR05809504,13|4,1-y*=0.94,53 K,,,"When the a-parameter is reduced from that of non-superconducting sample, superconductivity is induced with an abrupt raise of T c at about a=3.964Å (1-y*=0.94) and the T c saturates about 53 K at a=3.94~3.95Å."
41,PR05809504,14|3,"oxygen-deficient, fluorine-free NdFeAsO 1-y",53 K,,,
42,PR06100107,1|0,La2−xSrxCuO4,38K,ambient pressure,,"We have measured out-of-plane resistivity ρc for La2−xSrxCuO4 under anisotropic pressure. c-axis compression, which decreases ρc, reduces Tc drastically, whereas c-axis extention, which increases ρc, enhances Tc from 38K at ambient pressure to 51.6K at 8GPa."
43,PR06100107,1|0,La2−xSrxCuO4,51.6K,8GPa,,"We have measured out-of-plane resistivity ρc for La2−xSrxCuO4 under anisotropic pressure. c-axis compression, which decreases ρc, reduces Tc drastically, whereas c-axis extention, which increases ρc, enhances Tc from 38K at ambient pressure to 51.6K at 8GPa."
44,PR06100107,12|6,x = 0.15,38 K,ambient P,,The plate sample with x = 0.15 shows T c enhance- ment from 38 K at ambient P to 51.6 K at 8 GPa with a rate of dT c /dP ∼ +5 K/GPa under P ≤ 1.5 GPa and dT c /dP ∼ +1.5 K/GPa for P ≥ 1.5 GPa.
45,PR06100107,12|6,x = 0.15,51.6 K,8 GPa,,The plate sample with x = 0.15 shows T c enhance- ment from 38 K at ambient P to 51.6 K at 8 GPa with a rate of dT c /dP ∼ +5 K/GPa under P ≤ 1.5 GPa and dT c /dP ∼ +1.5 K/GPa for P ≥ 1.5 GPa.
46,PR06100107,12|7,LSCO,51.6K,8 GPa,,
47,PR06100107,19|2,LSCO,51.6 K,8 GPa,,"Indeed, the enhancement of T c in LSCO, which reaches 51.6 K at 8 GPa, is mainly inter- preted in terms of interlayer expansion, which enhances two dimensionality."
48,PR0446999,1|3,x = 0.5,32 K,,specific heat,"For x = 0.5, a well defined anomaly in the specific heat related to the superconducting (SC) transition at T c = 32 K confirms bulk superconductivity in this compound."
49,PR0446999,2|12,Eu 0.5 K 0.5 Fe 2 As 2,32 K,,,"By doping Potassium to the Eu lattice (hole doping), Eu 0.5 K 0.5 Fe 2 As 2 shows the suppression of the SDW transition and the appearance of a SC phase transition at 32 K."
50,PR0446999,3|0,EuFe 2 As 2,29 K,2 GPa,,"The application of pressure on EuFe 2 As 2 , results in a continuous suppression of the SDW ordering above 2 GPa and a sharp drop in the electrical resistivity, ρ(T), which indicates the onset of superconductivity at T c 29 K ."
51,PR05914099,1|1,RuSr2GdCu2O8,16 K,,magnetization,
52,PR05914099,2|3,Sr 2 RuO 4,1.5 K,,,
53,PR05914099,3|3,1212-type RuSr 2 GdCu 2 O 8,15-40,,,
54,PR05914099,4|1,RuSr 2 GdCu 2 O 8,16 K,,,Here we present the result of a zero-field muon-spin ro- tation (ZF-µSR) study of a RuSr 2 GdCu 2 O 8 sample with T c =16 K and T Curie =133 K which provides evidence that the magnetic order parameter is spatially homoge- neous and accounts for most of the sample volume.
55,PR05914099,8|3,RuSr 2 GdCu 2 O 8,16 K,,resistivity,The resistivity measurements indicate that the RuSr 2 GdCu 2 O 8 sample exhibits zero resistivity at a crit- ical temperature of T c = 16 K.
56,PR05914099,11|0,RuSr 2 GdCu 2 O 8,16 K,,magnetization,"Before we discuss the result of the µSR experiments, we first present some DC-magnetization data which es- tablish that the RuSr 2 GdCu 2 O 8 sample exhibits a spon- taneous magnetization at a ferromagnetic transition of T Curie = 133 K and becomes superconducting at a much lower temperature T c = 16 K."
57,PR05914099,11|3,RuSr 2 GdCu 2 O 8,16 K,,magnetisation,
58,PR05914099,13|1,RuSr2GdCu2O8,16 K,,magnetization,
59,PR05914099,23|10,RuSr 2 GdCu 2 O 8,16 K,,,
60,PR05914099,27|1,RuSr 2 GdCu 2 O 8,16 K,,magnetization,
61,PR05511832,17|13,T l 0.5 P b 0. 5 Sr 2 Ca 1−x Y x Cu 2 O 7,105.1K,,Numerical calculation,
62,PR06015055,6|1,pure crystals,≃75 K,,,"At this composition y=6.78, which gives T c ≃75 K in pure crystals, a peak in R H (T ) can be clearly seen and also the pseudogap feature in ρ ab (T ) is clearly discernible (due to the rather wide T -linear region above T * ); from the literature, we can infer that T * is about 200 K (Ref. ) and T g is about 130 K (Ref. )."
63,PR05907184,3|2,x = 0.17,40 K,,,"Apart from having only one CuO 2 layer La 2−x Sr x CuO 4 (LSCO) is also a good model system for the study of doping dependences since it can be doped by the addition of strontium over a wide range: from the underdoped, where T c increases with Sr content, to the optimally doped where T c reaches its maximum value of ≈ 40 K at x = 0.17, and to the overdoped region where T c → 0 at x = 0.34."
64,PR05907184,3|2,x = 0.34,0,,,"Apart from having only one CuO 2 layer La 2−x Sr x CuO 4 (LSCO) is also a good model system for the study of doping dependences since it can be doped by the addition of strontium over a wide range: from the underdoped, where T c increases with Sr content, to the optimally doped where T c reaches its maximum value of ≈ 40 K at x = 0.17, and to the overdoped region where T c → 0 at x = 0.34."
65,PR05907184,5|0,La1.86Sr0.14CuO4,36 K,,,The temperature dependence of the in-plane re- sistivity of La1.86Sr0.14CuO4 is shown with a sharp super- conducting transition at 36 K.
66,PR05907184,8|1,Sr x = 0.14,36 K,,,The critical temperature was determined by both SQUID magnetization and resistivity measurements and was found to be 36 K for the nominal concentration of Sr x = 0.14 and 32 K for x = 0.13.
67,PR05907184,8|1,x = 0.13,32 K,,,The critical temperature was determined by both SQUID magnetization and resistivity measurements and was found to be 36 K for the nominal concentration of Sr x = 0.14 and 32 K for x = 0.13.
68,PR05907184,8|2,x = 0.17,40 K,,,"Since the highest T c in the LSCO system has been found to be 40 K for x = 0.17, we conclude that both crystals are underdoped."
69,PR05907184,25|10,under- doped La 2−x Sr x CuO 4,32 K,,,"We find that for under- doped La 2−x Sr x CuO 4 T * ≥ 400 K, an order of magnitude higher than the superconducting transition temperature T c (32 K)."
70,PR06006991,3|8,Bi 2 Sr 2−x La x CuO 6 with x≃0.4,30 K,,,"On the other hand, the Bi-2201 system has very attractive characteristics: it has been known for Bi-2201 that the carrier concentration can be widely changed by partially replacing Sr with La (to under- dope) or Bi with Pb (to overdope) ; at optimum dop- ing (Bi 2 Sr 2−x La x CuO 6 with x≃0.4), the maximum T c is about 30 K , which is lower than the maximum T c of LSCO."
71,PR06006991,5|5,x=0.24,24,,,"Here we report crystals with x=0.24, 0.30, 0.44, 0.57, and 0.66, for which the zero-resistance T c is 24, 30, 33, 28.5, and 20 K, respec- tively."
72,PR06006991,5|5,0.30,30,,,"Here we report crystals with x=0.24, 0.30, 0.44, 0.57, and 0.66, for which the zero-resistance T c is 24, 30, 33, 28.5, and 20 K, respec- tively."
73,PR06006991,5|5,0.44,33,,,"Here we report crystals with x=0.24, 0.30, 0.44, 0.57, and 0.66, for which the zero-resistance T c is 24, 30, 33, 28.5, and 20 K, respec- tively."
74,PR06006991,5|5,0.57,28.5,,,"Here we report crystals with x=0.24, 0.30, 0.44, 0.57, and 0.66, for which the zero-resistance T c is 24, 30, 33, 28.5, and 20 K, respec- tively."
75,PR06006991,5|5,0.66,20,,,"Here we report crystals with x=0.24, 0.30, 0.44, 0.57, and 0.66, for which the zero-resistance T c is 24, 30, 33, 28.5, and 20 K, respec- tively."
76,PR06006991,5|8,BSLCO,33 K,,,
77,PR06006991,12|4,Tl-2201,85 K,,,"Interestingly, another single-layer cuprate Tl-2201 shows a good T 2 dependence of τ −1 H at optimum dop- ing and Tl-2201 has the maximum T c of 85 K."
78,PR04909084,3|0,x > 0.22,200 mK,,,"(1) All overdoped samples with high Sr concentrations, x > 0.22, have sharp superconducting-to-normal thermal phase transitions, as narrow as 200 mK near the QPT."
79,PR06114350,4|10,x=0,28.7,,resistivity,"The transition temperature T c by the midpoint of the resistivity drop is 28.7, 21.2 and 17.4 K for x=0, 0.01, and 0.02, respectively."
80,PR06114350,4|10,0.01,21.2,,resistivity,"The transition temperature T c by the midpoint of the resistivity drop is 28.7, 21.2 and 17.4 K for x=0, 0.01, and 0.02, respectively."
81,PR06114350,4|10,0.02,17.4,,resistivity,"The transition temperature T c by the midpoint of the resistivity drop is 28.7, 21.2 and 17.4 K for x=0, 0.01, and 0.02, respectively."
82,SST01600L7,2|5,x = 0.15,38 K,,,"In the superconductor regime, the critical temperature of LSCO reaches its maximum of 38 K at x = 0.15."
83,SST01600L7,7|1,x = 0.063,11K,,SQUID magnetometer,
84,SST01600L7,7|1,x = 0.125,31K,,SQUID magnetometer,
85,PhysRevX.9.021044,5|1,Sr 2 RuO 4,from 1.4 to 3.5 K,,,
86,PhysRevX.9.021044,7|2,Single-crystalline Sr 2 RuO 4,1.44 K,,specific heat,
87,EPL0580589,1|0,overdoped Bi2Sr2CaCu2O 8+δ,56 K,,,We report tunneling spectroscopy of superconductor-insulator-superconductor break junctions on heavily overdoped Bi2Sr2CaCu2O 8+δ with Tc = 56 K.
88,EPL0580589,4|9,Bi-2212,56 K,,,
89,EPL0580589,8|7,underdoped Bi-2212,77 K,,,
90,EPL0580589,9|0,overdoped Bi-2212,74 K,,,"Considering other studies, STM measurements of overdoped Bi-2212 with T c ∼ 74 K have"
91,EPL0580589,10|4,underdoped and overdoped Bi-2212,82 K,,,"In a more recent study, SIS break junctions of underdoped and overdoped Bi-2212 with T c = 82 K were fabricated using an STM by M."
92,EPL0580589,10|7,underdoped and overdoped Bi-2212,82 K,,,
93,EPL0580589,10|7,underdoped and overdoped Bi-2212,56 K,,,
94,EPL0580589,11|4,overdoped Bi-2212,56 K,,,Here what we observed is that the d-wave-like sub- gap structure persists at the T c = 56 K overdoped Bi-2212. shows the normalized tunneling conductance of SIS break junction # 1 at 4.2 K (dots) which is given in .
95,EPL0580589,12|4,overdoped Bi-2212,48 K,,,"In the present study, we show that the gap magnitude for heavily overdoped Bi-2212 shows no anomalies near T c but continues to decrease and appears to close near the bulk T c value. and (c) shows the d-wave fit for T c = 48 K and 55 K."
96,EPL0580589,12|4,overdoped Bi-2212,55 K,,,"In the present study, we show that the gap magnitude for heavily overdoped Bi-2212 shows no anomalies near T c but continues to decrease and appears to close near the bulk T c value. and (c) shows the d-wave fit for T c = 48 K and 55 K."
97,EPL0580589,19|0,overdoped Bi-2212,56 K,,magnetization,
98,EPL0580589,19|0,underdoped Bi-2212,77 K,,,"The temperature evolution of the tunneling conductance for overdoped Bi-2212 with bulk Tc = 56 K, (a) junction # 1 and (b) junction # 2; (c) underdoped Bi-2212 with bulk Tc = 77 K [11]."
99,Tanaka_etal_2017,1|4,CeOBiS2,1.3 K,,Resistivity,
100,Tanaka_etal_2017,1|6,non-doped CeOBiS2,up to ~3.8 K,,,
101,Tanaka_etal_2017,18|1,CeOBiS2,~1.3 K,,resistivity,
102,Tanaka_etal_2017,19|0,"Ce(O,F)BiS2",3.1 K,,,"The Tc zero of Ce(O,F)BiS2 was ~3.1 K, and the corresponding Meissner signal was also observed in the magnetization measurement down until 2.0 K (inset of Fig.)."
103,Tanaka_etal_2017,21|2,CeOBiS2,3.8 K,1.62 GPa,resistivity,
104,Tanaka_etal_2017,21|2,CeOBiS2,3.2 K,1.62 GPa,,
105,Tanaka_etal_2017,22|4,CeOBiS2,1.5 K,ambient pressure,resistivity,
106,Tanaka_etal_2017,25|3,CeOBiS2 crystals,1.3 K,ambient pressure,resistivity,
107,Tanaka_etal_2017,25|4,CeOBiS2 crystals,3.8 K,,,
108,Drozdov_etal_2015,0|0,,203 kelvin,high pressures,,Conventional superconductivity at 203 kelvin at high pressures in the sulfur hydride system
109,Drozdov_etal_2015,1|1,,133 kelvin,ambient pressure,,The highest T c that has been achieved to date is in the copper oxide system : 133 kelvin at ambient pressure and 164 kelvin at high pressures .
110,Drozdov_etal_2015,1|1,,164 kelvin,high pressures,,The highest T c that has been achieved to date is in the copper oxide system : 133 kelvin at ambient pressure and 164 kelvin at high pressures .
111,Drozdov_etal_2015,1|6,sulfur hydride,80 kelvin,,predicted,"Here we investigate sulfur hydride , where a T c of 80 kelvin has been predicted ."
112,Drozdov_etal_2015,1|8,,203 kelvin,,resistivity,"On cooling, we see signatures of supercon- ductivity: a sharp drop of the resistivity to zero and a decrease of the transition temperature with magnetic field, with magnetic sus- ceptibility measurements confirming a T c of 203 kelvin."
113,Drozdov_etal_2015,1|8,,203 kelvin,,magnetic sus- ceptibility,"On cooling, we see signatures of supercon- ductivity: a sharp drop of the resistivity to zero and a decrease of the transition temperature with magnetic field, with magnetic sus- ceptibility measurements confirming a T c of 203 kelvin."
114,Drozdov_etal_2015,2|2,MgB 2,39 K,,,"Indeed, many superconduc- tive materials have been found in this way, but only a moderately high T c 5 39 K has been found in this search (in MgB 2 ; ref. 11)."
115,Drozdov_etal_2015,3|1,molecular hydrogen,100-240 K,,calculations,"Further calculations showed that metallic hydrogen should be a superconductor with a very high T c of about 100-240 K for molecular hydrogen, and of 300-350 K in the atomic phase at 500 GPa (ref. ) ."
116,Drozdov_etal_2015,3|1,molecular hydrogen,300-350 K,500 GPa,,"Further calculations showed that metallic hydrogen should be a superconductor with a very high T c of about 100-240 K for molecular hydrogen, and of 300-350 K in the atomic phase at 500 GPa (ref. ) ."
117,Drozdov_etal_2015,4|0,H 2 S,< 80 K,< 100 GPa,,"For the present study we selected H 2 S, because it is relatively easy to handle and is predicted to transform to a metal and a superconductor at a low pressure P < 100 GPa with a high T c < 80 K (ref. ) ."
118,Drozdov_etal_2015,7|2,,203(1) K,,magnetic susceptibility,
119,Drozdov_etal_2015,7|4,,203.5 K,,magnetization,"The magnetization decreases sharply at temperatures above 200 K showing the onset of superconductivity at 203.5 K, in agreement with the susceptibility measurements ."
120,Drozdov_etal_2015,9|0,H 2 S,< 80 K,,calculations,"low-temperature runs possibly relates to H 2 S, as it is generally consistent with calculations 10 for H 2 S: both the value of T c < 80 K and its pressure behaviour."
121,Drozdov_etal_2015,9|0,H 2 S,< 80 K,,calculations,"low-temperature runs possibly relates to H 2 S, as it is generally consistent with calculations 10 for H 2 S: both the value of T c < 80 K and its pressure behaviour."
122,Drozdov_etal_2015,9|11,H 3 S,< 190 K,,predicted,
123,Drozdov_etal_2015,9|13,H 3 S,200 K,,prediction,
124,Drozdov_etal_2015,9|15,H 3 S,190 K,,calculated,
125,Drozdov_etal_2015,10|0,H 3 S,203 K,,,The highest T c of 203 K that we report here has been achieved most probably in H 3 S having the Im-3m structure.
126,Drozdov_etal_2015,20|2,sulfur hydride,170 K,145 GPa,resistance,
127,Drozdov_etal_2015,20|3,sulfur hydride,250 K,,resistance,
128,Drozdov_etal_2015,20|3,sulfur hydride,195 K,,,
129,Drozdov_etal_2015,22|2,,185 K,,resistance,"The temperature dependence of the resistance without an applied magnetic field was measured three times: before applying the field, after applying 1, 3, 5, 7 T and finally after applying 2, 4, 6 T (black, grey and dark grey colours). b, The same measurements but for the 185 K superconducting transition. c, The temperature dependence of the critical magnetic field strengths of sulfur hydride."
130,Drozdov_etal_2015,23|2,sulfur hydride,203(1) K,155 GPa,magnetization,
131,Drozdov_etal_2015,23|4,,195 K,145 GPa,Resistivity,
132,Drozdov_etal_2015,23|6,sulfur hydride,203 K,155 GPa,susceptibility,
133,Drozdov_etal_2015,23|19,sulfur hydride,203.5 K,,magnetization,
134,Drozdov_etal_2015,25|1,sulfur hydride,< 60 K,143 GPa,resistance,
135,Drozdov_etal_2015,25|2,sulfur hydride,185 K,,resistance,
136,Drozdov_etal_2015,25|3,sulfur hydride,22 K,143 GPa,,
137,L088227002,1|1,doped Sr 0.9 La 0.1 CuO 2,43 K,,,"The optimally doped Sr 0.9 La 0.1 CuO 2 with T c 43 K exhibits a momentum-independent superconduct- ing gap D 13.0 6 1.0 meV that substantially exceeds the BCS value, and the spectral characteristics indicate insignificant quasiparticle damping by spin fluctuations and the absence of pseudogap."
138,L088227002,2|8,Sr 0.9 La 0.1 CuO 2,43 K,,,"Recently, Jung et al. have demonstrated single-phase samples of Sr 0.9 La 0.1 CuO 2 with nearly 100% superconducting volume and a sharp superconducting tran- sition temperature at T c 43 K, thus enabling reliable spectroscopic studies of the pairing symmetry and the ef- fects of quantum impurities."
139,L088227002,3|2,1% Zn-SLCO,43 K,,Magnetization studies,"Magnetization studies revealed nearly 100% superconducting volume for all samples, with T c 43 K for SLCO and 1% Zn-SLCO, and T c 32 K for 1% Ni-SLCO."
140,L088227002,3|2,SLCO,43 K,,Magnetization studies,"Magnetization studies revealed nearly 100% superconducting volume for all samples, with T c 43 K for SLCO and 1% Zn-SLCO, and T c 32 K for 1% Ni-SLCO."
141,L088227002,3|2,1% Ni-SLCO,32 K,,Magnetization studies,"Magnetization studies revealed nearly 100% superconducting volume for all samples, with T c 43 K for SLCO and 1% Zn-SLCO, and T c 32 K for 1% Ni-SLCO."
142,L088227002,16|5,doped YBa 2 Cu 3 O 72d,92.5 6 0.5 K,,,Left inset: a normalized c-axis tunneling spectrum of an optimally doped YBa 2 Cu 3 O 72d (T c 92.5 6 0.5 K).
143,SSC1310125,1|2,Na 0.22 H 0.1 CoO 2 • 0.85H 2 O,4.4 K,,,"Combined with the thermogravimetric analysis, the chemical composition of the typical sample is Na 0.22 H 0.1 CoO 2 • 0.85H 2 O, which shows bulk superconductivity at 4.4 K."
144,SSC1310125,3|1,"Na x CoO 2 • yH 2 O (x ≈ 0.35, y ≈ 1.3)",5 K,,,
145,SSC1310125,16|1,"Na x CoO 2 • yH 2 O (x ≈ 0.35, y ≈ 1.3)",4.4 K,,susceptibility,
146,SSC1310125,17|1,Na 0.22 H 0.1 CoO 2 • 0.85H 2 O,4.4 K,,,
147,L093156802,2|1,CaC 6,11.5 K,,,"The Ca-intercalated graphite, CaC 6 , with its ""record"" T c of about 11.5 K, in particular, has been the subject of various theoretical and experimental in- vestigations in the past two years (for a short review of the initial results see )."
148,L093156802,4|5,CaC 6,11.4 K,,,
149,L095167004,1|1,"AOs 2 O 6 (A = Cs, Rb, K)",7.6 K,6 GPa,resistivity,
150,L095167004,1|1,"AOs 2 O 6 (A = Cs, Rb, K)",8.2 K,2 GPa,,
151,L095167004,1|1,"AOs 2 O 6 (A = Cs, Rb, K)",10 K,0.6 GPa,,
152,L095167004,2|1,"AOs 2 O 6 (A = Cs, Rb, K)",3.3 K,,,
153,L095167004,2|1,"AOs 2 O 6 (A = Cs, Rb, K)",6.3 K,,,
154,L095167004,2|1,"AOs 2 O 6 (A = Cs, Rb, K)",9.6 K,,,
155,L095167004,5|34,Cd 2 Re 2 O 7,1 K,,,"It is interesting to note that this number of 5d electrons is just between two integer values for Re 5+ ions (5d 2 ) in 1 K superconductor Cd 2 Re 2 O 7 and Os 5+ ions (5d 3 ) in Cd 2 Os 2 O 7 exhibiting a metal-to-insulator transition [13, 19]."
156,L095167004,8|1,CsOs 2 O 6,3.3 K,,resistivity,
157,L095167004,8|2,CsOs 2 O 6,5.0 K,2 GPa,,
158,L095167004,8|2,CsOs 2 O 6,7.6 K,6 GPa,,
159,L095167004,8|3,CsOs 2 O 6,3.7 K,10 GPa,,
160,L095167004,9|0,RbOs 2 O 6,8.2 K,2 GPa,resistivity,
161,L095167004,9|0,,from 6.3 K,AP,magnetization,
