id,filename,passage_id,material,tcValue,pressure,me_method,text
296,Rb2Cr3As3_quasi1D_SC1412.2596-CC,3,K 2 Cr 3 As 3,6.1 K,,,"Examples of inorganic Q1D superconductors include Li 0.9 Mo 6 O 17 and Tl 2 Mo 6 Se 6 , in which the Mo- 4d electrons bear relatively weak electron correla- tions.  Nevertheless, peculiar properties were revealed in Li 0.9 Mo 6 O 17 , and possible triplet SC was proposed. Very recently, we discovered bulk SC at 6.1 K in a Q1D pnictide K 2 Cr 3 As 3 in which correlated Cr-3d electrons are involved.   The crystal structure is characterized by the [(Cr 3 As 3 ) 2− ] ∞ double-walled subnano-tubes in which Cr 6 (As 6 ) face-sharing octahedron chains constitute the inner (outer) wall. Although the Q1D structural unit resembles the counterpart of Tl 2 Mo 6 Se 6 , the new material hosts series of peculiar physical properties including a large Sommerfeld coefficient of 70 mJ K −2 mol −1 , a linear temperature dependence of resistivity from 7 to 300 K, high upper critical fields exceeding the Pauli limit, and a power law dependence of elec- tronic specific heat in the superconducting state.Our first-principles calculations indicate that the electrons around E F are dominated by the Cr-3d states, which form two Q1D Fermi surface (FS) sheets and one 3D FS pockets. The calculated 'bare' density of state (DOS) at E F is less than 1/3 of the experimental value from the specific-heat measurement, confirming the electron correlation effect. Besides, ferromagnetic instability and/or ferromagnetic spin fluctuations are revealed, which favors spin-triplet Cooper pairing.These experimental and theoretical-calculation results suggest unconventional SC in K 2 Cr 3 As 3 ."
297,Rb2Cr3As3_quasi1D_SC1412.2596-CC,4,Tl 2 Mo 6 Se 6,4.2 K,,,"In Q1D systems, the interchain coupling plays a crucial role in the competition between SC and charge-or spin- density wave. For example, unlike Tl 2 Mo 6 Se 6 which remains metallic and superconducts at 4.2 K, Rb 2 Mo 6 Se 6 undergoes a metal-insulator transition at ∼ 170 K, which is explained in terms of dynamical charge-density wave owing to the reduced interchain hopping.  Thus, the appearance of SC in K 2 Cr 3 As 3 suggests a significant in- terchain coupling, as revealed by the existence of 3D FS. Therefore, it is of considerable interest to investigate the effect of interchain coupling by the elemental replacement (e.g., Rb for K) in the spacer columns.  Furthermore, it is important to check whether the unconventional SC is a common feature in the Q1D Cr-based pnictides.In this Communication, we report the synthesis, structural characterization, and physical property measurement of an analogous material Rb 2 Cr 3 As 3 .  Indeed, weaker interchain coupling is signatured by the obviously ex- panded interchain distance, which may account for the broadening of the superconducting transitions. Bulk superconductivity at a little lowered temperature of 4.8 K was observed, accompanied with a mildly reduced Sommerfeld coefficient of 58.2 mJ K −2 mol −1 .Similar to K 2 Cr 3 As 3, unconventional SC is evidenced by the electrical transport and the thermodynamic properties."
298,Rb2Cr3As3_quasi1D_SC1412.2596-CC,4,Rb 2 Cr 3 As 3,4.8 K,,,"In Q1D systems, the interchain coupling plays a crucial role in the competition between SC and charge-or spin- density wave. For example, unlike Tl 2 Mo 6 Se 6 which remains metallic and superconducts at 4.2 K, Rb 2 Mo 6 Se 6 undergoes a metal-insulator transition at ∼ 170 K, which is explained in terms of dynamical charge-density wave owing to the reduced interchain hopping.  Thus, the appearance of SC in K 2 Cr 3 As 3 suggests a significant in- terchain coupling, as revealed by the existence of 3D FS. Therefore, it is of considerable interest to investigate the effect of interchain coupling by the elemental replacement (e.g., Rb for K) in the spacer columns.  Furthermore, it is important to check whether the unconventional SC is a common feature in the Q1D Cr-based pnictides.In this Communication, we report the synthesis, structural characterization, and physical property measurement of an analogous material Rb 2 Cr 3 As 3 .  Indeed, weaker interchain coupling is signatured by the obviously ex- panded interchain distance, which may account for the broadening of the superconducting transitions. Bulk superconductivity at a little lowered temperature of 4.8 K was observed, accompanied with a mildly reduced Sommerfeld coefficient of 58.2 mJ K −2 mol −1 .Similar to K 2 Cr 3 As 3, unconventional SC is evidenced by the electrical transport and the thermodynamic properties."
299,Rb2Cr3As3_quasi1D_SC1412.2596-CC,8,Rb 2 Cr 3 As 3 polycrystalline,4.8 K,,resistivity,"Figure shows temperature dependence of resis- tivity, ρ(T ), for the Rb 2 Cr 3 As 3 polycrystalline sample.  The ρ(T ) shows metallic conduction and, similar to that in K 2 Cr 3 As 3 , a T -linear resistivity can also be seen albeit in a narrower temperature range between 5 to 35 K.  This non-Fermi-liquid behavior could be related to a Luttinger liquid state, characteristic of 1D fermion system.Nonetheless, superconductivity emerges below 4.8 K with a transition width ∆T c = 0.44 K [∆T c = T (90%ρ n ) − T (10%ρ n ), where ρ n refers to the extrapolated normal-state resistivity at the superconducting transition midpoint]. This ∆T c value is obviously larger than that (0.24 K) of K 2 Cr 3 As 3 , which seems to be related to the relatively weak interchain coupling in Rb 2 Cr 3 As 3."
300,Rb2Cr3As3_quasi1D_SC1412.2596-CC,10,Rb2Cr3As3,4.8 K,,magnetization,
301,Rb2Cr3As3_quasi1D_SC1412.2596-CC,11,Rb2Cr3As3,below 4.8 K,,specific-heat,
302,P066024503-CC,1,Ce=0.6,35 K,,,"Eu 2-x Ce x RuSr 2 Cu 2 O 10-δ (Ru-2122) is the first Cu-O based system in which superconductivity (SC) in the CuO 2 planes and weak-ferromagnetism (W-FM) in the Ru sub-lattice coexists.  The hole doping in the CuO 2 planes, is controlled by appropriate variation of the Ce concentration. SC occurs for Ce contents of 0.4-0.8, with the highest T C =35 K for Ce=0.6.   The as-prepared non-SC EuCeRuSr 2 Cu 2 O 10 (x=1) sample exhibits magnetic irreversibility below T irr =125 K and orders anti-ferromagnetically (AFM) at T M =165 K.The saturation moment at 5 K is M sat =0.89 µ B /Ru close to the expected 1 µ B for the low-spin state of Ru 5+ . Annealing under oxygen pressures, does not affect these parameters, whereas depletion of oxygen shifts both T irr and T M up to 169 and 215 K respectively. Systematic magnetic studies on Eu 2-x Ce x RuSr 2 Cu 2 O 10-δ show that T M , T irr and M sat decrease with x, and the Ce dependent magnetic-SC phase diagram is presented.  A simple model for the SC state is proposed.We interpret the magnetic behavior in the framework of our ac and dc magnetic studies, and argue that: (i) the system becomes AFM ordered at T M ; (b) at T irr < T M , W-FM is induced by the canting of the Ru moments, and (c), at lower temperatures the appropriate samples become SC at T C . The magnetic features are not affected by the SC state, and the two states coexist."
303,P066024503-CC,3,Nb-2122,28-30 K,,,". The tetragonal M-2122 structure (space group I4/mmm) evolves from the RBa 2 Cu 3 O 7 structure by inserting a fluorite type R 1.5 Ce 0.5 O 2 layer instead of the R layer in RBa 2 Cu 3 O 7 , thus shifting alternate perovskite blocks by (a+b)/2 . The M ions reside in the Cu (1) site and only one distinct Cu site (corresponding to Cu (2) in RBa 2 Cu 3 O 7 ) with fivefold pyramidal coordination, exists. The hole doping of the Cu-O planes, which results in metallic behavior and SC, can be optimized with appropriate variation of the R/Ce ratio 2 . SC occurs for Ce contents of 0.4-0.8, and the highest T C was obtained for Ce=0.6.  The Nb-2122 and Ta-2122 materials are SC with T C 28-30 K."
304,P066024503-CC,3,Ta-2122,28-30 K,,,". The tetragonal M-2122 structure (space group I4/mmm) evolves from the RBa 2 Cu 3 O 7 structure by inserting a fluorite type R 1.5 Ce 0.5 O 2 layer instead of the R layer in RBa 2 Cu 3 O 7 , thus shifting alternate perovskite blocks by (a+b)/2 . The M ions reside in the Cu (1) site and only one distinct Cu site (corresponding to Cu (2) in RBa 2 Cu 3 O 7 ) with fivefold pyramidal coordination, exists. The hole doping of the Cu-O planes, which results in metallic behavior and SC, can be optimized with appropriate variation of the R/Ce ratio 2 . SC occurs for Ce contents of 0.4-0.8, and the highest T C was obtained for Ce=0.6.  The Nb-2122 and Ta-2122 materials are SC with T C 28-30 K."
305,P066024503-CC,5,Ru-2122 materials (for R=Eu),32-50 K,,,"In both systems, the magnetic order does not vanish when SC sets in at T C , and remains unchanged and coexists with the SC state.  The Ru-2122 materials (for R=Eu) display a magnetic transition at T M = 125-180 K and bulk SC below T C = 32-50 K (T M >T c ) depending on oxygen concentration and sample preparation .   SC survives because the Ru moments probably align in the basal planes, which are practically decoupled from the CuO 2 planes, so that there is no pair breaking.Specific heat studies show a sizeable typical jump at T C and the magnitude of the ∆C/T (0.08 mJ/gK 2 ) indicates clearly the presence of bulk SC . The specific heat anomaly is independent of the applied magnetic field. Scanning tunneling spectroscopy 3 , muon-spin rotation and magneto-optic experiments have demonstrated that all materials are microscopically uniform with no evidence for spatial phase separation of superconducting and magnetic regions.That is, both states coexist intrinsically on the microscopic scale."
306,P066024503-CC,11,Eu 2-x Ce x RuSr 2 Cu 2 O 10-δ,35 K,,susceptibility,"(a) Superconductivity in the Eu 2-x Ce x RuSr 2 Cu 2 O 10-δ δ δ δ system The temperature dependence of the normalized ac susceptibility curves (at H dc =0) for the Eu 2-x Ce x RuSr 2 Cu 2 O 10-δ system are presented in .  It is readily observed that the x=1 and 0.9 are not SC and that SC occurs for Ce contents of x=0.8-0.4. exhibits the onset of SC deduced from these ac plots which exhibit a bell shape behavior with a peak at 35 K for Ce=0.6. Similar values are obtained by our resistivity measurements (not shown).   A similar bell shape behavior was observed in the Eu 2-x Ce x NbSr 2 Cu 2 O 10-δ (x=0.4-1) system, which serve as reference materials.It is apparent in that the SC transitions, are much broader than those observed in many other HTSC materials.This transition width is comparable to our previous resistivity data 3,6 and with Ref."
307,P066024503-CC,11,Ce=0.6,35 K,,susceptibility,"(a) Superconductivity in the Eu 2-x Ce x RuSr 2 Cu 2 O 10-δ δ δ δ system The temperature dependence of the normalized ac susceptibility curves (at H dc =0) for the Eu 2-x Ce x RuSr 2 Cu 2 O 10-δ system are presented in .  It is readily observed that the x=1 and 0.9 are not SC and that SC occurs for Ce contents of x=0.8-0.4. exhibits the onset of SC deduced from these ac plots which exhibit a bell shape behavior with a peak at 35 K for Ce=0.6. Similar values are obtained by our resistivity measurements (not shown).   A similar bell shape behavior was observed in the Eu 2-x Ce x NbSr 2 Cu 2 O 10-δ (x=0.4-1) system, which serve as reference materials.It is apparent in that the SC transitions, are much broader than those observed in many other HTSC materials.This transition width is comparable to our previous resistivity data 3,6 and with Ref."
308,P066024503-CC,12,Nb-2122,28-30 K,,,"Such a broadening is typical of under-doped Cu based high T c materials where inhomogeneity in the oxygen concentration causes a distribution in the T c values.  In addition, the SC transition width may be due to the spontaneous vortex state discussed in detail in Ref. 4. In the next section we suggest an intuitive explanation as to why the M-2122 (M= Ru, Ta and Nb) materials are superconducting.  Given the variety of crystal structures and the chemical methods used to introduce holes into the CuO 2 layers, it is well established that a ""generic' electronic phase diagram can be sketched for all compounds.The hole (or carrier) density (p) in the CuO 2 planes, or deviation of the formal Cu valence from Cu 2+ , is a primary parameter, which affects T C in most of the HTSC compounds. In the well-established phase diagram La 2-x Sr x CuO 4 , the stoichiometric parent La 2 CuO 4 is AFM and insulating. The magnetic interactions are well described by a simple Heisenberg model, with a large exchange interaction (J= 1500 K) value.  In La 2-x Sr x CuO 4 the charge carrier concentration, can be varied by replacing Sr 2+ for La 3+ (or by removal or addition of oxygen in YBa 2 Cu 3 O z ) . The variation of T C as a function of hole doping exhibits a bell shape behavior, with a peak for the optimally doped material (x=0.15 for La 2-x Sr x CuO 4 ). The Eu, Ce and Ru ion valencies in Eu 1.5 Ce 0.5 RuSr 2 Cu 2 O 10-δ have been studied by Mossbauer spectroscopy (MS) and X-ray-absorption spectroscopy (XAS) techniques . MS performed at 90 and 300 K on 151 Eu show a single narrow line with an isomer shift of 0.69(2) mm/s, indicating that the Eu ions are trivalent with a nonmagnetic J=0 ground state.  XAS taken at L III edges of Ce shows also that Ce is tetravalent.XAS taken at the K edge of Ru, at room temperature indicates clearly that the Ru ions are pentavalent .It is also apparent, that bulk SC in the M-2122 system appears only for pentavalent M ions and both Nb-2122 and Ta-2122 materials are SC with T C 28-30 K 1 ."
309,P066024503-CC,12,Ta-2122,28-30 K,,,"Such a broadening is typical of under-doped Cu based high T c materials where inhomogeneity in the oxygen concentration causes a distribution in the T c values.  In addition, the SC transition width may be due to the spontaneous vortex state discussed in detail in Ref. 4. In the next section we suggest an intuitive explanation as to why the M-2122 (M= Ru, Ta and Nb) materials are superconducting.  Given the variety of crystal structures and the chemical methods used to introduce holes into the CuO 2 layers, it is well established that a ""generic' electronic phase diagram can be sketched for all compounds.The hole (or carrier) density (p) in the CuO 2 planes, or deviation of the formal Cu valence from Cu 2+ , is a primary parameter, which affects T C in most of the HTSC compounds. In the well-established phase diagram La 2-x Sr x CuO 4 , the stoichiometric parent La 2 CuO 4 is AFM and insulating. The magnetic interactions are well described by a simple Heisenberg model, with a large exchange interaction (J= 1500 K) value.  In La 2-x Sr x CuO 4 the charge carrier concentration, can be varied by replacing Sr 2+ for La 3+ (or by removal or addition of oxygen in YBa 2 Cu 3 O z ) . The variation of T C as a function of hole doping exhibits a bell shape behavior, with a peak for the optimally doped material (x=0.15 for La 2-x Sr x CuO 4 ). The Eu, Ce and Ru ion valencies in Eu 1.5 Ce 0.5 RuSr 2 Cu 2 O 10-δ have been studied by Mossbauer spectroscopy (MS) and X-ray-absorption spectroscopy (XAS) techniques . MS performed at 90 and 300 K on 151 Eu show a single narrow line with an isomer shift of 0.69(2) mm/s, indicating that the Eu ions are trivalent with a nonmagnetic J=0 ground state.  XAS taken at L III edges of Ce shows also that Ce is tetravalent.XAS taken at the K edge of Ru, at room temperature indicates clearly that the Ru ions are pentavalent .It is also apparent, that bulk SC in the M-2122 system appears only for pentavalent M ions and both Nb-2122 and Ta-2122 materials are SC with T C 28-30 K 1 ."
310,P071184510-CC,12,Zn-free,85K,,,"In this (S1) sample, there is a very large residual resistivity, also the maximum T c has been suppressed by ~ 57.1 K from its Zn-free maximum value (~ 85K), indicating that a large amount of Zn resides in the CuO 2 planes.   Even at fairly high hole concentration, (p ~ 0.180) ρ(T) is non-metallic over the whole experimental temperature range from 300K, indicating significant carrier localization induced by Zn in the CuO 2 plane and also due to some extrinsic effects like the degree of porosity of the sintered sample. The most striking feature of the ρ(T,p) data is the downturn in resistivity at around 230 ± 5K, almost independent of planar hole concentration p.This downturn is somewhat masked for samples with higher oxygen deficiency (smaller p) due to the stronger non-metallic behavior over the whole temperature range.   These downturns in the ρ(T) data are similar to those observed in samples with a PG (see Figs.3). But in this sample it is unusual because (i) the PG-like feature is observed in resistivity for a heavily overdoped sample (T c = 12K, whereas T cmax ~ 27.9K for y = 0.06) and (ii) T * does not seem to change with p. The former indicates the possibility of disorder giving rise to this PG-like phenomenon, whereas the latter shows that in such a case, this feature is almost independent of planar hole content, p.In Fig.2b we have shown the p-independent T * for another heavily disordered compound (S2) from the ρ(T) measurements.  Although the nominal composition for S2 from a different batch was also y = 0.06 and x = 0.20, from the value of T cmax (= 32K) we think the actual Zn concentration in the CuO 2 plane is a little lower, probably ~ 5.5%.  T * for this sample is ~ 205 ± 5K.Several ρ(T) measurements were done for these samples after each oxygen annealing and measurements were also repeated after time intervals of several months.Each time we have observed the characteristic downturn in ρ(T) at the same temperature.It is worth mentioning that for a given value of p, ρ(T,p) of S1 appears to be more non-metallic than S2."
311,P071184510-CC,12,y = 0.06,27.9K,,ρ(T),"In this (S1) sample, there is a very large residual resistivity, also the maximum T c has been suppressed by ~ 57.1 K from its Zn-free maximum value (~ 85K), indicating that a large amount of Zn resides in the CuO 2 planes.   Even at fairly high hole concentration, (p ~ 0.180) ρ(T) is non-metallic over the whole experimental temperature range from 300K, indicating significant carrier localization induced by Zn in the CuO 2 plane and also due to some extrinsic effects like the degree of porosity of the sintered sample. The most striking feature of the ρ(T,p) data is the downturn in resistivity at around 230 ± 5K, almost independent of planar hole concentration p.This downturn is somewhat masked for samples with higher oxygen deficiency (smaller p) due to the stronger non-metallic behavior over the whole temperature range.   These downturns in the ρ(T) data are similar to those observed in samples with a PG (see Figs.3). But in this sample it is unusual because (i) the PG-like feature is observed in resistivity for a heavily overdoped sample (T c = 12K, whereas T cmax ~ 27.9K for y = 0.06) and (ii) T * does not seem to change with p. The former indicates the possibility of disorder giving rise to this PG-like phenomenon, whereas the latter shows that in such a case, this feature is almost independent of planar hole content, p.In Fig.2b we have shown the p-independent T * for another heavily disordered compound (S2) from the ρ(T) measurements.  Although the nominal composition for S2 from a different batch was also y = 0.06 and x = 0.20, from the value of T cmax (= 32K) we think the actual Zn concentration in the CuO 2 plane is a little lower, probably ~ 5.5%.  T * for this sample is ~ 205 ± 5K.Several ρ(T) measurements were done for these samples after each oxygen annealing and measurements were also repeated after time intervals of several months.Each time we have observed the characteristic downturn in ρ(T) at the same temperature.It is worth mentioning that for a given value of p, ρ(T,p) of S1 appears to be more non-metallic than S2."
312,P071184510-CC,12,y = 0.06 and x = 0.20,32K,,ρ(T),"In this (S1) sample, there is a very large residual resistivity, also the maximum T c has been suppressed by ~ 57.1 K from its Zn-free maximum value (~ 85K), indicating that a large amount of Zn resides in the CuO 2 planes.   Even at fairly high hole concentration, (p ~ 0.180) ρ(T) is non-metallic over the whole experimental temperature range from 300K, indicating significant carrier localization induced by Zn in the CuO 2 plane and also due to some extrinsic effects like the degree of porosity of the sintered sample. The most striking feature of the ρ(T,p) data is the downturn in resistivity at around 230 ± 5K, almost independent of planar hole concentration p.This downturn is somewhat masked for samples with higher oxygen deficiency (smaller p) due to the stronger non-metallic behavior over the whole temperature range.   These downturns in the ρ(T) data are similar to those observed in samples with a PG (see Figs.3). But in this sample it is unusual because (i) the PG-like feature is observed in resistivity for a heavily overdoped sample (T c = 12K, whereas T cmax ~ 27.9K for y = 0.06) and (ii) T * does not seem to change with p. The former indicates the possibility of disorder giving rise to this PG-like phenomenon, whereas the latter shows that in such a case, this feature is almost independent of planar hole content, p.In Fig.2b we have shown the p-independent T * for another heavily disordered compound (S2) from the ρ(T) measurements.  Although the nominal composition for S2 from a different batch was also y = 0.06 and x = 0.20, from the value of T cmax (= 32K) we think the actual Zn concentration in the CuO 2 plane is a little lower, probably ~ 5.5%.  T * for this sample is ~ 205 ± 5K.Several ρ(T) measurements were done for these samples after each oxygen annealing and measurements were also repeated after time intervals of several months.Each time we have observed the characteristic downturn in ρ(T) at the same temperature.It is worth mentioning that for a given value of p, ρ(T,p) of S1 appears to be more non-metallic than S2."
313,P071184510-CC,20,Bi-2212,62K,,,"The observed PG-like features for highly disordered Y 1-x. Ca x Ba 2 (Cu 1-y Zn y ) 3 O 7-δ is surprising considering the widely held belief that the energy scale of the PG is determined by p, and T * (p) either falls below or merges with the T c (p) line in the OD side.  In a previous magnetic susceptibility study, Cooper and Loram 34 observed a PG-like feature in fully oxygenated sintered 7%Zn-Y123, where superconductivity was almost completely suppressed with Zn.  Vobornik et al. also observed a pseudogap in ARPES experiments for disordered optimally doped Bi-2212 single crystals 35 .For Bi-2212, in-plane disorder was introduced by electron irradiation and T c was reduced from 90K to 62K.  ρ ab (T) was also measured but no high-T downturn in resistivity for this 62K optimally doped Bi-2212 was found 35 .  In the light of present results, a possible reason might be that the sample was not ""sufficiently"" disordered, since we also did not see any anomalous effect in our 3%, 4%, and 5%Zn samples (where T c was suppressed by ~ 30K, ~ 40K, and ~ 46K respectively, near the optimum doping).  Notice that all the previous observations of disorder induced PG were for samples that are slightly OD and optimally doped respectively . Here we have reported this effect over a fairly wide doping range from p = 0.205 to 0.11.It is fair to say that there are two main effects of Zn substitution for Cu(2) in cuprates : (i) Zn tends to localize carriers in the CuO 2 plane (depending on temperature and Zn content) and (ii) it gives rise to ""Curie- like magnetic moments"" possibly on the four neighboring Cu sites (in the presence of short-range antiferromagnetically correlated background).  Recent 63 Cu NMR and inelastic neutron scattering studies suggest that Zn enhances the AF correlation in Y123. There is growing evidence that an AF background with short-range order does not exist in overdoped cuprates with p > 0.19 . The situation in highly disordered samples could be different, especially if there is phase segregation, and only a very weak form of superconductivity is present.  Under these circumstances Zn induced enhancement of short-range AF correlation might be a possibility for highly disordered Y 1-x Ca 1-x Ba 2 (Cu 1- y Zn y ) 3 O 7-δ irrespective of the hole content.It is very interesting to note that both the effects of Zn substitution (enhancement of short-range AF correlation or/and carrier localization in the CuO 2 plane) can be directly linked to the existence of the pseudogap.   AF fluctuation has been held widely responsible for (or at least partly contributing to) the formation of the PG by various theoretical and experimental studies .In another scenario, using the t-J model, strong Coulomb repulsion has been taken as responsible for both pseudogap and superconducting pairing . In the VHS scenario leads to localization of carriers and thus weakens the electrostatic screening, which, in turn effectively increases the Coulomb interaction.  As Zn plays a similar role on carrier transport in the CuO 2 planes, it can give rise to a pseudogap in the VHS scenario. It is hard to reconcile any precursor-pairing picture with this anomalous T * (p).On the other hand, scenarios in which the PG originates from correlations that are not related and compete with superconductivity, can possibly offer an explanation. In the competing correlations scenario T * (p) and T c (p) are detrimental to each other and the growth of one is accompanied by the decrease of the other (at least in the pure compounds). Kohno et al. 45 have in fact shown in their theoretical analysis that disorder can indeed strengthen one competing phase (AF) significantly over the other (e.g., superconductivity). The abrupt appearance of this anomalous PG-like feature in resistivity as a function of disorder content is indicative of some sort of threshold mechanism in action, consistent with some recent theoretical studies 5,46 . For example, in the study by Monthoux 5 it was shown that as quasiparticle life-time becomes shorter (with increasing scattering by spin fluctuations), it starts to ""feel"" long-range magnetic order even when only short-range correlations are present. The quasiparticle mean-free path relative to the correlation length of the short-range AF order determines the size of the pseudogap. As the quasiparticle life-time decreases with Zn, it is possible that at a certain level of Zn in the CuO 2 plane the scattering rate becomes high enough to dominate over the more gradual p-dependent scattering.  Using the Hubbard model, it was shown that a high scattering rate leads to the removal of low-energy spectral weight .In this scenario the local Coulomb repulsion, U, is the important parameter.Heavy Zn substitution increases the scattering rate, localizes quasiparticles and effectively enhances U/t (where t is the nearest-neighbor hopping energy) globally.Once U > 8t, the pseudogap becomes insensitive to U and therefore, should not show significant p- dependence .Roughly speaking, the mean distance between Zn impurities, l i , in the CuO 2 plane is given by ~ r/√z pl , where z pl = 3y/2 and r ~ 3.9Å is the distance between Cu atoms in the plane.For y = 0.06, l i ~ 13Å, close to the value of the in-plane superconducting coherence length, This should imply that once the distance between Zn atoms becomes comparable with the superconducting coherence length, abrupt changes in the various normal and superconducting state properties take place."
314,P071184510-CC,20,optimally doped Bi-2212,62K,,,"The observed PG-like features for highly disordered Y 1-x. Ca x Ba 2 (Cu 1-y Zn y ) 3 O 7-δ is surprising considering the widely held belief that the energy scale of the PG is determined by p, and T * (p) either falls below or merges with the T c (p) line in the OD side.  In a previous magnetic susceptibility study, Cooper and Loram 34 observed a PG-like feature in fully oxygenated sintered 7%Zn-Y123, where superconductivity was almost completely suppressed with Zn.  Vobornik et al. also observed a pseudogap in ARPES experiments for disordered optimally doped Bi-2212 single crystals 35 .For Bi-2212, in-plane disorder was introduced by electron irradiation and T c was reduced from 90K to 62K.  ρ ab (T) was also measured but no high-T downturn in resistivity for this 62K optimally doped Bi-2212 was found 35 .  In the light of present results, a possible reason might be that the sample was not ""sufficiently"" disordered, since we also did not see any anomalous effect in our 3%, 4%, and 5%Zn samples (where T c was suppressed by ~ 30K, ~ 40K, and ~ 46K respectively, near the optimum doping).  Notice that all the previous observations of disorder induced PG were for samples that are slightly OD and optimally doped respectively . Here we have reported this effect over a fairly wide doping range from p = 0.205 to 0.11.It is fair to say that there are two main effects of Zn substitution for Cu(2) in cuprates : (i) Zn tends to localize carriers in the CuO 2 plane (depending on temperature and Zn content) and (ii) it gives rise to ""Curie- like magnetic moments"" possibly on the four neighboring Cu sites (in the presence of short-range antiferromagnetically correlated background).  Recent 63 Cu NMR and inelastic neutron scattering studies suggest that Zn enhances the AF correlation in Y123. There is growing evidence that an AF background with short-range order does not exist in overdoped cuprates with p > 0.19 . The situation in highly disordered samples could be different, especially if there is phase segregation, and only a very weak form of superconductivity is present.  Under these circumstances Zn induced enhancement of short-range AF correlation might be a possibility for highly disordered Y 1-x Ca 1-x Ba 2 (Cu 1- y Zn y ) 3 O 7-δ irrespective of the hole content.It is very interesting to note that both the effects of Zn substitution (enhancement of short-range AF correlation or/and carrier localization in the CuO 2 plane) can be directly linked to the existence of the pseudogap.   AF fluctuation has been held widely responsible for (or at least partly contributing to) the formation of the PG by various theoretical and experimental studies .In another scenario, using the t-J model, strong Coulomb repulsion has been taken as responsible for both pseudogap and superconducting pairing . In the VHS scenario leads to localization of carriers and thus weakens the electrostatic screening, which, in turn effectively increases the Coulomb interaction.  As Zn plays a similar role on carrier transport in the CuO 2 planes, it can give rise to a pseudogap in the VHS scenario. It is hard to reconcile any precursor-pairing picture with this anomalous T * (p).On the other hand, scenarios in which the PG originates from correlations that are not related and compete with superconductivity, can possibly offer an explanation. In the competing correlations scenario T * (p) and T c (p) are detrimental to each other and the growth of one is accompanied by the decrease of the other (at least in the pure compounds). Kohno et al. 45 have in fact shown in their theoretical analysis that disorder can indeed strengthen one competing phase (AF) significantly over the other (e.g., superconductivity). The abrupt appearance of this anomalous PG-like feature in resistivity as a function of disorder content is indicative of some sort of threshold mechanism in action, consistent with some recent theoretical studies 5,46 . For example, in the study by Monthoux 5 it was shown that as quasiparticle life-time becomes shorter (with increasing scattering by spin fluctuations), it starts to ""feel"" long-range magnetic order even when only short-range correlations are present. The quasiparticle mean-free path relative to the correlation length of the short-range AF order determines the size of the pseudogap. As the quasiparticle life-time decreases with Zn, it is possible that at a certain level of Zn in the CuO 2 plane the scattering rate becomes high enough to dominate over the more gradual p-dependent scattering.  Using the Hubbard model, it was shown that a high scattering rate leads to the removal of low-energy spectral weight .In this scenario the local Coulomb repulsion, U, is the important parameter.Heavy Zn substitution increases the scattering rate, localizes quasiparticles and effectively enhances U/t (where t is the nearest-neighbor hopping energy) globally.Once U > 8t, the pseudogap becomes insensitive to U and therefore, should not show significant p- dependence .Roughly speaking, the mean distance between Zn impurities, l i , in the CuO 2 plane is given by ~ r/√z pl , where z pl = 3y/2 and r ~ 3.9Å is the distance between Cu atoms in the plane.For y = 0.06, l i ~ 13Å, close to the value of the in-plane superconducting coherence length, This should imply that once the distance between Zn atoms becomes comparable with the superconducting coherence length, abrupt changes in the various normal and superconducting state properties take place."
315,P071184510-CC,29,pure Y123,93K,,,"The T-p phase diagram. Un-filled symbols show the data from ref.24 (where using Zn and magnetic field to suppress T c we have been able to track T * (p) below T c0 (p) = T c (p, x = 0, y = 0). Filled symbols represent anomalous T * . Straight lines are drawn as guide to the eye. The dashed line represents the T c0 (p) of pure Y123 with T cmax = 93K.  Sintered samples are denoted by ""s"" and tha c-axis thin films by ""f""."
316,PHC3830337-CC,15,RuSr 2 GdCu 2 O 8,42 K,,,"The magnetic and transport properties of the RuSr 2 GdCu 2 O 8 sample chosen for high pressure measurements are similar to that previously reported by different groups. shows the dc susceptibility, χ dc , as a function of temperature.  The increase of χ dc at about 130 K clearly indicates the onset of the ferromagnetic order. A strong diamagnetic signal appears in the zero field cooled (zfc) susceptibility below 30 K. The inset of , however, shows that superconductivity actually sets in at a higher temperature of T c = 42 K. The small diamagnetic signal below 42 K is assigned to the intra-grain superconductivity whereas the larger signal below 30 K is due to the inter-grain shielding signal."
317,L090137002-CC,4,underdoped Bi 2 Sr 2 CaCu 2 O 8+δ,70 K,,,"Single-crystalline rods of underdoped Bi 2 Sr 2 CaCu 2 O 8+δ were grown using the travel- ling solvent floating zone technique under 25 mBar oxygen partial pressure . The samples used for the study, with T c ≈ 70 K, were cleaved from the same crystalline piece.  The crystals were then ir- radiated with 2.5 MeV electrons using the van der Graaf accelerator of the Laboratoire des Solides Irradiés. The irradiation produces homogeneously distributed Frenkel pairs, which have previously been identified as strong scattering centers ."
