id,filename,pid,text
10,inserm-00851058.training.tei.xml,10,"Male triathletes possess a larger muscle mass, greater muscular strength and lower relative body fat compared to female triathletes. Low body fat is an important predictor variable for total time performance in triathlon. For example, Knechtle et al.  showed that low body fat was associated with faster race times in male Ironman triathletes but not in females. Males possess on average 7-9% less percent body fat than females, which is likely an advantage for males. Therefore, it appears that sex differences in percentage body fat, oxygen carrying capacity and muscle mass may be major factors for sex differences in overall triathlon performance. Menstrual cycle, and possibly pregnancy, may also impact training and racing in female athletes, factors that do not affect males. "
11,inserm-00851058.training.tei.xml,11,"Sex differences in endurance and ultra-endurance (>6h)  performance have received considerable attention over the past few decades, but the majority of studies have focused on running performances.  Interestingly, Speechly et al.  reported that females, who were matched with males for a 42-km run, were faster than males in a 90-km race. Similarly, it has been shown that females and males who were matched for 50-km trail running performance also performed similarly in trail runs of 80-and 161-km distances.  Despite the suggestion in 1992 that females may one day outrun males in competitive ultra-endurance events  , elite males appear to run approximately 10-12% faster than elite females across all endurance running race distances up to marathon, with the sex difference narrowing as the race distance increases.  However, at distances greater than 100km, such as the 161-km ultramarathon, the difference seems even larger, with females 20-30% slower than males. Insert TABLE 1"
12,inserm-00851058.training.tei.xml,12,"Sex differences in triathlon performance have previously been described for elite triathletes and for non-elite triathletes of different age groups  for long distances (distances greater or equal to half-Ironman)  and for off-road triathlon  . Surprisingly, very little data is available for short distance triathlons especially for high-level international races. One reason may be that the top international short distance triathlons, (i.e. World Championship Series events or Olympics) have all been draft legal for several years and therefore it is difficult to find a reference of high level Olympic distance triathlon without drafting for comparison. The increase in nondrafting international distance triathlons such the Hy-Vee triathlon that offers significant prize money for both male and female winners and represents a highly competitive platform for professional triathletes should help to better determine sex differences in short distance triathlon performance when athletes compete on a level (non-drafting) playing field in the future. Table 2 presents the most recent data for sex differences in triathlon performance for international elite triathletes participating in the most competitive races at each triathlon distance. By 2012, values narrowed so much that, for the top 10 triathletes overall in three top level international road-based triathlon races, the difference between males and females was 11.3% for the Hawaii Ironman triathlon, 14.1% for the Olympics and 9.3% for the Hy-Vee short distance triathlon (see Table 2). Non road-based triathlon produced a greater sex difference (discussed in more detail below). Interestingly, for ultra-triathlons, it has been shown that with increasing length of the event, the best females became relatively slower compared to the best males.  Indeed, if the world""s best performances are considered, males were 19% faster than the females in both Double and"
13,inserm-00851058.training.tei.xml,13,"Triple Ironman distance, and30% faster in the Deca-Ironman distance.  However, nonphysiological factors may have contributed to these observations, in particular a fewer overall number of female finishers in ultra-triathlons, compared to formats of more standard length. 2.4 Sex differences in triathlon swimming performance"
14,inserm-00851058.training.tei.xml,14,"The average sex difference in swimming performance during triathlon for race distances between1.5 and 3.8 km ranged between approximately 10% and 15% for elite triathletes (see Table 1). The sex difference in triathlon swimming performance is consistent with values found for different pool swimming events. It has been shown that sex differences in pool swimming performances become progressively smaller with increasing distance from.  This seems also to be the case for triathlon as Table 1 shows that, the longer the distance of the swim component of a triathlon race, the smaller the sex difference, particularly when the top 10 age group athlete performances are considered. In ultra-endurance outdoor swimming events, female swimmers have tended to reduce the gap with their male counterparts. For example, time differences between male and female swimming records are 6.7% for the 32-km ""English Channel Swim"" and 2.3% for the 26-km ""Marathon Swim in Lake of"
15,inserm-00851058.training.tei.xml,15,"Zurich"" in Switzerland, respectively. However, the sex difference in performance between the best male and female ultra-swimmers is more generally close to 11-12%, which corresponds to values observed for swimming in triathlon.  It has been shown that the elite male and female triathletes completed the 3.8-km swim stage of the Hawaii Ironman triathlon ~ 10% slower than the elite swimmer specialists for the same distance at the Waikiki Roughwater Swim race.  This difference could be explained by better propelling efficiency in elite swimmers compared with elite triathletes.  Analysis from 2005 showed that the sex difference in triathlon swimming appears lower than in cycling and running at the Hawaii Ironman triathlon and at the off-road triathlon Xterra World Championship.  The difference between swimming and the two other disciplines could be explained in part by the biological difference in relative body fat (7-9 % higher in females).  Performance in activities that involve supporting ones weight, for example running, may be more susceptible to a greater body fat percentage compared to water-based events such as swimming, during which body fat can increase buoyancy and therefore improve performance.  Buoyancy is also improved in females through a lower ""underwater torque"", which can be defined loosely as the tendency for the feet to sink.  In addition, in contrast to running where the energy cost appears to be similar between females and males, the energy cost of freestyle swimming has been shown to be significantly higher (i.e. lower economy) in males compared to females.  At a velocity of 1 m/s, there are differences in drag force and coefficient of drag between males and females.  The energy cost of swimming depends essentially on the propelling efficiency of the arm stroke and hydrodynamic resistance, but it has been suggested that differences in energy costs of swimming between sexes are mainly to be attributed to differences in hydrodynamic resistance.  In contrast, differences in energy cost of swimming across ages may be attributed also to changes in the propelling efficiency of the arm stroke.  Females have smaller body size (resulting in smaller body drag), smaller body density (greater fat percent) and shorter lower limbs, resulting in a more horizontal and streamlined position and therefore a smaller underwater torque. "
16,inserm-00851058.training.tei.xml,16,"Sex differences in triathlon cycling vary from12 to 16% according to the level of expertise of participating triathletes for road-based triathlons (Table 1). Data gained from analysing male and female participants"" performances in the 180-km cycling leg of an"
17,inserm-00851058.training.tei.xml,17,"Ironman triathlon are unique datasets as official time-trial road-cycling championships generally take place on distances much shorter than180-km. Moreover, there is a paucity of data concerning sex differences in road or track cycling performance.  In track cycling, where females are generally weaker than males in terms of power/weight ratios, the performance gap between males and females appears to be constant and independent of the race distance from 200 to 1000 m.  In ultra-cycling events, such as the ""Race Across America"", sex difference in performance was around 15% among top competitors.  Greater muscle mass and aerobic capacity in males, even expressed relative to the lean body mass  , may represent an advantage during long distance cycling, especially on a relative flat course such as Ironman cycling where cycling approximates to a non-weight-bearing sport. Indeed, it has been shown that absolute power output (which is greater for males than for females) is associated with successful cycling endurance performance because the primary force inhibiting forward motion on a flat course is air resistance.  Interestingly, for elite triathletes the sex difference in mountain bike cycling during off-road triathlon  is greater compared to cycling sex differences in conventional roadbased events.  Mountain biking differs in many ways from road cycling. Factors other than aerobic power and capacity such as off-road cycling economy, anaerobic power and capacity, and technical ability might influence off-road cycling performance.  Bouts of high intensity exercise frequently encountered during the mountain biking leg of off-road triathlon  can result from: 1) having to overcome the constraints of gravity associated with steep climbs, 2) variable terrain necessitating wider tires and thus greater rolling resistance, and 3) isometric muscle contractions associated with the needs of more skilled bike handling skills, not so often encountered in road cycling. In particular however, lower power-to-weight ratios for females compared to male triathletes inevitably leave them at a disadvantage during steep climbs.  Moreover, the increased bike handling skills, required especially during downhill mountain biking may be impaired by relatively lower female arm or leg isometric muscle strength, meaning that greater sex differences in off-road triathlon could be attributed to decreased ability to control the bicycle in females. However, this assumption needs to be confirmed with specific investigations of the effect of sex on technical ability in mountain biking.  As percentage differences in time do not equate to percent differences in power output, due to non-linear relationships between speed and power output from air or water resistance  , the magnitude of the sex difference has also been examined by calculating the percentage difference between males and females in estimated power outputs for each discipline.  In this case, differences in estimated power output between the sexes are greater for triathlon cycling than for the swimming and running disciplines. For example, sex differences in power output in swimming, cycling and running were estimated to be 28%, 39% and 33%, respectively for Ironman triathlon, and 30%, 45% and 33% for off-road triathlon.  Because power output is proportional to oxygen uptake, the magnitude of sex differences in power output provides a more realistic representation of underlying sex differences in physiological capacity. 2.6 Sex differences in triathlon running performance"
18,inserm-00851058.training.tei.xml,18,"During the1988-2007 period, the top 10 elite males have run the Hawaii Ironman marathon on average 13.3% faster than the top 10 females.  In contrast, during the same period, elite female triathletes have improved their marathon running times by 0.8 min/yr while times have remained stable for the males. While these improvements in female performances compared to males are impressive, they remain as yet unexplained, which is strange when it is considered that females have benefited from similar training and nutritional advances. If females continue to improve their running performance at Ironman, they could reduce the sex difference in the marathon leg and therefore their overall performance times."
19,inserm-00851058.training.tei.xml,19,"For example, at the2012 Hawaii Ironman, the difference in marathon times between the top 10 elite males and the top 10 elite females reduced to 7.3 % . Another notable example is that the female winner of the famous Roth"
20,inserm-00851058.training.tei.xml,20,"Ironman (Germany) in2011 ran only 2.6% slower than the winning male . At the same race, both female and male winners bettered the Ironman distance performance world record .  Thus, it appears that the marathon running leg of Ironman triathlon has become the discipline in which female elite triathletes have most reduced the gap with their male counterparts. Interestingly, Lepers  showed that for the top 10 elite finishers the sex difference in running at the Hawaii Ironman marathon was similar to that recorded during the New-York marathon, suggesting above all, that the swim and cycle legs of the triathlon do not exacerbate the sex difference in running a marathon. Thus, the physiological differences between males and females in running performance that have been identified to occur in a regular marathon still persist in the marathon of an Ironman."
21,inserm-00851058.training.tei.xml,21,"Contrary to the knowledge of running performance differences between sexes for the marathon distance, few analyses have been conducted between males and females who have run10-km during an Olympic distance triathlon. A mean sex difference of 17% was found for the Zurich Switzerland Olympic distance triathlon during the 2000-2010 period.  However, as Table 2 shows, when data from 2012 only is considered, there is a considerable difference even within elite level Olympic distance run performances, between males and females. A difference of 12.3% existed during the draft-legal Olympic short distance race in London, whereas the difference was lower (8.6%) at the Hy-Vee international triathlon in Des Moines (draft-free). It would appear that the format of the triathlon (drafting or not) affects males differently to females, with the possibility that males benefit in terms of their subsequent running performance off the bike, to a greater extent when riding in a peloton. However, running performances in males and females need to be more closely analyzed in relation to the effort produced during the cycle leg of an Olympic distance triathlon."
22,inserm-00851058.training.tei.xml,22,"Performance density (i.e. the time difference between the winner and 10 th placed competitor) has been quantified by considering overall performance times in triathlon. For example, at the Hawaii Ironman triathlon between 1981 and 2008, the average time difference between 1st and 10 th place was smaller for male (5.8%) than for female athletes (7.5%).  During the past five years, the performance density has decreased , a trend which would suggest that in the future, high performing female athletes may be as performance dense as the males. In fact, Table 2 indicates that in 2012 performance density was similar across the two sexes for top international road-based triathlon events, regardless of format (Hawaii, Olympics and Hy-Vee). A notable exception to this was the Xterra World Championships (off-road triathlon) in which female performance density (12.2%) was considerably lower than the male performance density (4.6%). As explained earlier (section 2.5), this can likely be explained by the specific physiological and technical abilities needed for the mountain bike leg of Xterra, in particular explosive strength which favours males over females.  The small performance density observed for the London Olympics compared to other events, for both males and females, may be explained by the drafting component of the cycling leg that led to a grouped start of a number of athletes (approximately half of the field) at the beginning of the run leg. It must also be considered that a number of nations fielded >1 athlete, and identified a designated leader who was ""protected"" during the swim/cycle legs. This would also have led to a higher overall athlete density in terms of overall performance times in both males and females."
23,inserm-00851058.training.tei.xml,23,"Physiological, (e.g. lower muscle strength and oxygen carrying capacity), morphological, (e.g. greater percentage of body fat, lower muscle mass), and functional capacities are well known to change with advancing age in both males and females. In addition, is has been shown that, after 55 years of age, the decline in endurance performance is more pronounced in females than in males. [ years.  The occurrence of this large sex difference was somewhat earlier with respect to athletes"" age than recorded during the Hawaii Ironman triathlon. Possible explanations for this include the greater competitive level of older participants at the Hawaii Ironman triathlon because athletes are required to qualify as it is a World Championship event."
24,inserm-00851058.training.tei.xml,24,"There is a need for further research to understand if exercise duration exerts an influence upon sex differences across older age groups by analysing performances of athletes in a wider range of triathlon events, from Sprint distance, through Olympic distance and Halfironman, to Ironman distances. The exact reasons for these sex-related differences with advancing age are currently not clear but may result from physiological, sociological and psychological changes.  For example, a greater decline of one or more physiological determinants of endurance performance for females compared to males, (e.g. V  O 2max , lactate threshold, or exercise economy), or a difference in age-related changes in body composition (increase in percentage body fat and loss of muscular mass), hormonal changes, and fluid balance changes (e.g. decline in the thirst mechanism), could affect triathlon performance.  In addition, differences in terms of years of training, training volume and intensity between elderly male and female triathletes performing Ironman triathlon may exist, but further research is needed to clarify this. However  This participation difference may diminish over the next couple of decades as has been observed in marathon running , such that because the welltrained females move up to the older age groups, the improvement of the oldest females may actually surpass the oldest males."
25,inserm-00851058.training.tei.xml,25,"Age-related declines in endurance and ultra-endurance performance have been well described in the literature for running , cycling  , swimming  and more recently, for triathlon.    The greatest declines in endurance and triathlon performance occur after the age of 70 years (Table 3)."
26,inserm-00851058.training.tei.xml,26,"Physiological factors contribute to age-related declines in endurance performance in older athletes and there is obviously an interaction between training behaviour and performance in older athletes. It has been found that the age of peak performance in Ironman triathlon is around 33-overall performance of marathoners.  However, this finding observed for the Ironman Switzerland triathlon needs be confirmed for other Ironman events. For non-elite triathletes, the fastest race times are usually achieved between 25 and 44 years for both Ironman and Ultra-triathlons. "
27,inserm-00851058.training.tei.xml,27,"Total triathlon performance decreases progressively in a curvilinear manner with advancing age. However, there is a smaller age-related decline in cycling performance compared to running and swimming performances for both short and long distance triathlons. These findings suggest that age-related declines in endurance performance are specific to the mode of locomotion, although the cause for such modespecificity is not clear. Where does the focus of this locomotor mode-specificity with age lie? Our group has previously proposed that mechanical power could explain these agerelated differences in cycling and running. According to the formula P = k.V (k: constant), mechanical power output (P) is dependent upon velocity (V) during running, whereas it is dependent upon the third power of velocity during cycling (P = k.V 3 )."
28,inserm-00851058.training.tei.xml,28,"Following this, we previously suggested that as changes in aerobic capacity with age are tied to reductions in P, those reductions during running and cycling with age would give rise to lower cycling velocities than running velocities. A number of explanations can be given to explain the smaller decline in cycling performance during triathlon compared to the declines in the other two disciplines. These include a lesser reduction in lactate threshold or economy during cycling, or a greater muscular fatigue during running with age, although these propositions remain to be validated. Some authors have though, attempted to explain this age-related phenomenon in cycling by proposing that the ""training stimulus"", the ability or will to train, is reduced in running compared to cycling.  In particular, this may be because running is associated with a greater amount of orthopedic injuries, which limits the ability to train in running. The training stimulus would therefore be maintained in cycling due to the less traumatic nature of the endurance activity and therefore with age, triathletes would tend to cycle more than run."
29,inserm-00851058.training.tei.xml,29,"However, this proposition remains speculative and requires further investigation."
30,inserm-00851058.training.tei.xml,30,"The duration of a triathlon race exerts an important influence on the age-related changes in triathlon performance.Age-related declines in swimming performance are not influenced by triathlon duration with the magnitudes of decreases in swimming performance similar for Olympic distance versus Ironman triathlon. However, in contrast to swimming the magnitude of the declines in cycling and running performances with advancing age during"
31,inserm-00851058.training.tei.xml,31,"Olympic distance triathlon were less pronounced than during Ironman. For age group competitors of 70-74 yrs, total finishing time is approximately three hours for the Olympic distance triathlon whereas it is around 15 hours for an Ironman (Table 3). Certainly the Ironman triathlon induces greater neuromuscular fatigue in cycling and running compared to the Olympic distance event.  Furthermore, muscle damage during a 10-k run of the Olympic distance triathlon is limited compared to that which occurs during an Ironman marathon. Greater muscle fatigability and greater sensibility to muscle damage of older triathletes needs further investigation to determine if these factors underlie the greater declines in cycling and running performance of older triathletes."
32,inserm-00851058.training.tei.xml,32,"It has recently been shown that the rate of the decline in performance for off-road triathlon is greater than for road-based triathlon. This suggests that the type of discipline (road versus mountain bike cycling and road versus trail running) exerts an important influence on the magnitude of the age-associated changes in triathlon performance.  The specific aspects of mountain biking and trail running may explain why age-related declines in off-road triathlon are more pronounced for off-road compared to conventional on road triathlon. In particular, a decrease in power-to-weight ratio that has been shown to occur with age  leaves older athletes with a distinct advantage during steep climbs often encountered in off-road triathlons. Moreover, despite a preservation of muscle strength in comparison to sedentary persons  , older athletes may be disadvantaged in their technical bike handling skills due to lower arm/leg muscle strength. Poorer running performances in older athletes, especially when variations in intensity are required, may be explained be a reduced ability to modify the biomechanical components of running (e.g., support phases, stride frequency, changes in stride length, etc.) Insert TABLE 3"
33,inserm-00851058.training.tei.xml,33,"An increase in participation of both male and female athletes older than40 yrs over the past few decades has been reported for marathon and ultra-marathon running, such as 161-km ultra-marathons and for 100-km running in Switzerland.  A relative increase in participation of masters triathletes has also been observed during the past decade for short and long distance triathlon, while the participation of triathletes younger than 40 yrs of age has decreased.  The relative increase in participation of master triathletes at the Ironman distance triathlons has been accompanied by an improvement in their performance.  We have previously presented data for the 1986-2010 period showing that swimming, cycling, running and total time performances at the Hawaii Ironman Triathlon improved for male triathletes older than 44 years age and female triathletes older than 40 years age.  "
34,inserm-00851058.training.tei.xml,34, Similar findings have been observed for a Hawaii Ironman qualifying race such as the Switzerland
35,inserm-00851058.training.tei.xml,35,"Ironman. In Table 3, we show that, when the most recent data (Ironman Hawaii, 2011 and) is added, improvements of older age groups, especially for the males has continued, and for some age groups, is quite startling. For example, the best male finisher in the 70-74 age group has bettered the best time set in 2010  by almost one hour ."
36,inserm-00851058.training.tei.xml,36,"  What is clear however, is that, if the most recent (2012) data is compared to that of 1986, age groups show improvements of between 114% and 194 % for the males over 45 years, and 106% and 179%"
37,inserm-00851058.training.tei.xml,37,"for females over45, and that these improvements seem to be continuing, most significantly for the oldest athletes."
38,inserm-00851058.training.tei.xml,38,"Several reasons may explain the improved performance of master triathletes. These include an improvement of training facilities, coaching, training techniques, nutritional strategies and equipment, as well as the possibility that they have had better and prolonged access to the facilities required to train effectively. It is also obvious that the higher participation rates of master athletes increases the possibility of them obtaining better results due to the competitive nature of the sport. Additionally, athletes that have attained a number of good results and positive outcomes, have increased levels of motivation to train and compete in endurance events.  Accordingly, the better physical condition of older athletes is likely to increase competitive spirit, participation and performance.  The advancement of training quality is also a possible reason for these improved performance trends. Earlier studies suggested the performance decline with advancing age was due to decreased training volumes and intensity.  Other, more sociological, factors may also play a role in reducing the ability and motivation to train. These include greater work demands, demands of the family, a diminished inherent drive to push oneself or even train.  An important factor is also the greater amount of time needed by the body to recover from hard, physical effort resulting from training as humans age. Indeed, training for an Ironman triathlon is very demanding and in order to place in the top ten of an age group category, extremely high training volumes and intensities are required.  However, it has been suggested that masters athletes could optimize their quality of training, so they could reduce their training volume to save time for adequate recovery and remain injury free.  These studies suggest that masters triathletes have probably not reached their limits in ultra-endurance performance. Unfortunately, no information is available concerning the sporting background of these successful masters triathletes. Nevertheless, even if recreational masters athletes had relatively short training histories and little experience in triathlon, these successful athletes probably have lifelong histories of physical activity. "
39,inserm-00851058.training.tei.xml,39,"Sex differences in triathlon performance differ generally between the locomotion modes with lower differences seen in swimming compared to cycling and running for both elite and non-elite triathletes. In elite triathletes, sex differences in performance (~10-14%) are in agreement with values generally observed in endurance sports. At present, the performance density in highly competitive international triathlon races appears to have become similar between elite male and female triathletes. Marathon running during an"
40,inserm-00851058.training.tei.xml,40,"Ironman triathlon appears to be the discipline where female elite triathletes have reduced the gap with the males to the greatest extent over the recent years. Sex-related differences increase with advancing age most likely due to physiological, sociological and psychological changes. However, these differences should decrease in the future with the increase in participation of elderly female triathletes."
41,inserm-00851058.training.tei.xml,41,"Age-related declines in triathlon performance depend on the locomotion mode, the exercise duration (short versus long distance triathlon) and the triathlon format (off-road versus road based triathlon)."
42,inserm-00851058.training.tei.xml,42,"Sex difference in performance in top10 athletes in 2012 (mean ± SD) Difference between 10th and 1st (%) Table 2 Mean percentage differences in times for swimming, cycling, running and total event between the top 10 females and males and time difference between the winner and 10 th placed athlete in 2012 at four international triathlons: Hawaii Ironman triathlon World championship (Kona, Hawaii, USA Table 3 Total time records (actualized with 2012 data) and corresponding split times for male and female age-groups at the Hawaii Ironman Triathlon between 1986 and 2012. The change in percentage compared to the fastest total time (age group 18-39 years) is given for each different age group."
43,inserm-00851058.training.tei.xml,43,This research project was not funded. All authors declare that there were no conflicts of interests.
44,hal-00643787.training.tei.xml,0,"An allergy is an abnormal reaction of the immune system towards foreign substances (allergens) that are normally harmless. Peanut allergies in particular affect more than0.5% of the entire French population, and its increasing prevalence and potentially severe clinical reactions make it a public health problem. It is also the most lethal food allergy [4]. Following a strict avoidance diet is currently the only effective treatment that minimises potentially lethal accidents."
45,hal-00643787.training.tei.xml,1,"Diagnosing and scoring peanut allergies is currently performed with a double blind placebo controlled food challenge (DBPCFC). Patients are given increasing peanut doses until the first clinical reaction appears. Those showing specific allergy symptoms are declared allergic, and a particular avoidance treatment is then initiated. DBPCFC is also used to judge the severity of an established peanut allergy by determining the cumulative dose that triggers the first reaction, known as the eliciting dose [in milligrams (mg)]. However, these tests require patient hospitalisation in specialised centers and can potentially result in life-threatening reactions from patients with severe allergies. The DBPCFC is also a costly and time consuming test to conduct. The severity of peanut allergies is usually scored using the following scale :"
46,hal-00643787.training.tei.xml,2,• Score 1: Mild symptoms among : abdominal pains that spontaneously resolve under30 minutes and/or rhinocunjunctivitis and/or urticaria < 10 papulas and/or a rash (eczema onset);
47,hal-00643787.training.tei.xml,3,• Score 2:One moderate symptom among : abdominal pain requiring treatment or generalized urticaria or non-laryngeal angioedema or cough or fall of Peak Expiratory Flow between 15 and 20%;
48,hal-00643787.training.tei.xml,4,• Score 3:Two moderate symptoms in the preceding list;
49,hal-00643787.training.tei.xml,5,• Score 4:Three moderate symptoms in the preceding list or laryngeal oedema or hypotension or asthma requiring treatment;
50,hal-00643787.training.tei.xml,6,• Score 5: Any symptom requiring hospitalisation in intensive care.
51,hal-00643787.training.tei.xml,7,"For an already diagnosed allergy, it would be much more advantageous to predict the severity of the reaction from accidental exposure by using a blood sample or cutaneous test. This would replace the DBPCFC test with a simple statistical tool that can still evaluate potential risk without exposing the patient to a life-threatening allergic situation. Such a diagnostic method would be a major advance in food allergies and be beneficial to both patients and clinicians. The first objective of this paper was to select a set of discriminant variables which can offer useful information about the severity of peanut allergy. These variables could provide biologists and allergists a better understanding of the mechanisms inducing allergic reactions. Moreover this will allow to avoid measuring useless variables in further studies."
52,hal-00643787.training.tei.xml,8,"The second goal of this study was to predict the DBPCFC score, the eliciting dose and the first accidental exposure score, evaluated a posteriori with the patient's medical record according to the same scale as the DBPCFC score. The first accidental exposure score would then reveal the ""real"" severity of the allergy. Compare this to using the DBPCFC, which only offers a minimal view of the severity since the procedure is terminated once the first symptoms appear."
