id,filename,pid,material
27,PR06014617-CC.superconductors.tei.xml,5,LSCO
28,PR06014617-CC.superconductors.tei.xml,5,Hg-1201
29,PR06014617-CC.superconductors.tei.xml,6,LSCO
30,PR06014617-CC.superconductors.tei.xml,6,x = p < 0.19
31,PR06014617-CC.superconductors.tei.xml,7,x = 0.19
32,PR06014617-CC.superconductors.tei.xml,7,LSCO
33,PR06014617-CC.superconductors.tei.xml,7,0.20 < x < 0.35
34,PR06014617-CC.superconductors.tei.xml,8,LSCO
35,PR06014617-CC.superconductors.tei.xml,8,"x = 0.20, 0.22 and 0.24"
36,PR06014617-CC.superconductors.tei.xml,8,x = 0.20 and 0.22
37,PR06014617-CC.superconductors.tei.xml,8,x = 0.24
38,PR06014617-CC.superconductors.tei.xml,8,x = 0.27
39,PR06014617-CC.superconductors.tei.xml,8,x = 0.24
40,PR06014617-CC.superconductors.tei.xml,12,HgBa 2 Ca 2 Cu 3 O 8+δ
41,PR06014617-CC.superconductors.tei.xml,12,single crystal LSCO with x = 0.15
42,PR06014617-CC.superconductors.tei.xml,12,LSCO
43,PR06014617-CC.superconductors.tei.xml,12,Hg-1201
44,PR06014617-CC.superconductors.tei.xml,12,YBCO
45,PR06014617-CC.superconductors.tei.xml,12,YBCO
46,PR06014617-CC.superconductors.tei.xml,12,x = 0.10 LSCO
47,PR06014617-CC.superconductors.tei.xml,12,YBCO
48,PR06014617-CC.superconductors.tei.xml,14,"La2−xSrxCuO4 (LSCO) with x = p = 0.10, 0.15, 0.20, 0.22 and 0.24"
49,PR06014617-CC.superconductors.tei.xml,14,LSCO
50,PR06014617-CC.superconductors.tei.xml,14,"HgBa2CuO 4+δ unoriented powders with δ = 0.10, 0.154 and 0.37 (p = 0.075, 0.17 and 0.22"
51,PR06014617-CC.superconductors.tei.xml,14,δ = 0.154
52,PR06014617-CC.superconductors.tei.xml,15,La2−xSrxCuO4 (LSCO)
53,PR06014617-CC.superconductors.tei.xml,15,LSCO
54,PR06014617-CC.superconductors.tei.xml,15,"La2−xSrxCuO4 with x = p = 0.10, 0.15, 0.20, 0.22 and 0.24"
55,PR06014617-CC.superconductors.tei.xml,15,"x = 0.20, 0.22 and 0.24"
56,PR06014617-CC.superconductors.tei.xml,15,x = 0.22 and 0.24
57,MAT0305503-CC.superconductors.tei.xml,0,Na 0.31 CoO 2 •1.3H 2 O
58,MAT0305503-CC.superconductors.tei.xml,1,Na0.31CoO2•1.3H2O
59,MAT0305503-CC.superconductors.tei.xml,3,H 2 O
60,MAT0305503-CC.superconductors.tei.xml,3,Na 0.35 CoO 2
61,MAT0305503-CC.superconductors.tei.xml,6,Na 0.31 CoO 2 •1.3H 2 O
62,MAT0305503-CC.superconductors.tei.xml,6,H 2 O
63,MAT0305503-CC.superconductors.tei.xml,6,Na 0.31 CoO 2 •1.3H 2 O
64,MAT0305503-CC.superconductors.tei.xml,7,Na 0.31 CoO 2 •1.3H 2 O
65,MAT0305503-CC.superconductors.tei.xml,8,(BEDT-TTF) 2 Cu(NCS) 2
66,MAT0305503-CC.superconductors.tei.xml,8,Na 0.31 CoO 2 •1.3H 2 O
67,MAT0305503-CC.superconductors.tei.xml,9,Na0.31CoO2•1.3H2O powdered
68,MAT0305503-CC.superconductors.tei.xml,9,cobalt oxyhydrate
69,MAT0305503-CC.superconductors.tei.xml,10,Na 0.31 CoO 2 •1.3H 2 O
70,MAT0305503-CC.superconductors.tei.xml,10,Na 0.5 CoO 2
71,MAT0305503-CC.superconductors.tei.xml,10,Na 0.5 CoO 2
72,MAT0305503-CC.superconductors.tei.xml,11,Na0.31CoO2•1.3H2O
73,xing2014theAnomaly-CC.superconductors.tei.xml,0,LiFeAs
74,xing2014theAnomaly-CC.superconductors.tei.xml,1,LiFeAs
75,xing2014theAnomaly-CC.superconductors.tei.xml,1,undoped and Cu substituted LiFeAs
76,xing2014theAnomaly-CC.superconductors.tei.xml,3,La[O 1−x F x ]FeAs
77,xing2014theAnomaly-CC.superconductors.tei.xml,3,BaFe 2 As 2
78,xing2014theAnomaly-CC.superconductors.tei.xml,3,Fe 1−x Cu x Se
79,xing2014theAnomaly-CC.superconductors.tei.xml,3,Ba(Fe 1−x Cu x ) 2 As 2
80,xing2014theAnomaly-CC.superconductors.tei.xml,3,NaFe 1−x Cu x As
81,xing2014theAnomaly-CC.superconductors.tei.xml,4,Ba-122
82,xing2014theAnomaly-CC.superconductors.tei.xml,4,LiFeAs
83,xing2014theAnomaly-CC.superconductors.tei.xml,4,LiFeAs
84,xing2014theAnomaly-CC.superconductors.tei.xml,4,single crystals in LiFeAs
85,xing2014theAnomaly-CC.superconductors.tei.xml,5,"Single crystals of LiFe 1−x TM x As(TM = Cu, Co/Ni)"
86,xing2014theAnomaly-CC.superconductors.tei.xml,5,LiFe 1−x TM x As single crystals
87,xing2014theAnomaly-CC.superconductors.tei.xml,6,LiFe 1−x TM x As single crystals
88,xing2014theAnomaly-CC.superconductors.tei.xml,7,LiFe 1−x TM x As single crystal
89,xing2014theAnomaly-CC.superconductors.tei.xml,7,x = 0.06
90,xing2014theAnomaly-CC.superconductors.tei.xml,8,LiFeAs single crystals
91,xing2014theAnomaly-CC.superconductors.tei.xml,8,undoped LiFeAs crystal
92,xing2014theAnomaly-CC.superconductors.tei.xml,8,LiFeAs crystal
93,xing2014theAnomaly-CC.superconductors.tei.xml,9,Li(Fe 1−x Cu x )As
94,xing2014theAnomaly-CC.superconductors.tei.xml,9,Cu doping level of 7%
95,xing2014theAnomaly-CC.superconductors.tei.xml,10,Li(Fe 1−x Cu x )As
96,xing2014theAnomaly-CC.superconductors.tei.xml,10,Co substituted LiFeAs single crystal
97,xing2014theAnomaly-CC.superconductors.tei.xml,12,LiFe 1−x Ni x As crystals
98,xing2014theAnomaly-CC.superconductors.tei.xml,12,Ni doped Ba 122
99,xing2014theAnomaly-CC.superconductors.tei.xml,13,Cu doped LiFeAs
100,xing2014theAnomaly-CC.superconductors.tei.xml,13,LiFeAs
101,xing2014theAnomaly-CC.superconductors.tei.xml,13,LiFeAs crystals
102,xing2014theAnomaly-CC.superconductors.tei.xml,13,undoped and Cu 6% doped LiFeAs
103,xing2014theAnomaly-CC.superconductors.tei.xml,13,Cu 6% doped Li(Fe 1−x Cu x )As
104,xing2014theAnomaly-CC.superconductors.tei.xml,13,LiFeAs
105,xing2014theAnomaly-CC.superconductors.tei.xml,13,Cu 6% doped Li(Fe 1−x Cu x )As
106,xing2014theAnomaly-CC.superconductors.tei.xml,13,LiFeAs
107,xing2014theAnomaly-CC.superconductors.tei.xml,13,LiFeAs
108,xing2014theAnomaly-CC.superconductors.tei.xml,13,Co and Ni substituted LiFeAs
109,xing2014theAnomaly-CC.superconductors.tei.xml,13,LiFeAs
110,xing2014theAnomaly-CC.superconductors.tei.xml,13,LiFeAs
111,xing2014theAnomaly-CC.superconductors.tei.xml,13,Co and Zn substitution in Ba122
112,xing2014theAnomaly-CC.superconductors.tei.xml,13,Zn substituted BaFe 2 As 2
113,xing2014theAnomaly-CC.superconductors.tei.xml,14,LiFeAs
114,xing2014theAnomaly-CC.superconductors.tei.xml,15,LiFe 0.94 Cu 0.06 As
115,xing2014theAnomaly-CC.superconductors.tei.xml,15,LiFeAs
116,xing2014theAnomaly-CC.superconductors.tei.xml,15,Ba(Fe 1−x Cu x ) 2 As 2
117,xing2014theAnomaly-CC.superconductors.tei.xml,15,LiFeAs
118,xing2014theAnomaly-CC.superconductors.tei.xml,17,LiFe 1−x Cu x As single crystals
119,xing2014theAnomaly-CC.superconductors.tei.xml,17,Cu doped LiFeAs
120,xing2014theAnomaly-CC.superconductors.tei.xml,18,LiFe 1−x TM x As single crystals
121,xing2014theAnomaly-CC.superconductors.tei.xml,18,LiFeAs single crystal
122,xing2014theAnomaly-CC.superconductors.tei.xml,18,"LiFe 1−x Tm x As single crystal (Tm = Co, Ni and Cu)"
123,xing2014theAnomaly-CC.superconductors.tei.xml,19,LiFe 1−x Cu x As single crystal
124,xing2014theAnomaly-CC.superconductors.tei.xml,19,LiFe 1−x Cu x As single crystal
125,xing2014theAnomaly-CC.superconductors.tei.xml,20,LiFe 1−x Co x As single crystal
126,xing2014theAnomaly-CC.superconductors.tei.xml,20,LiFe 1−x Co x As single crystal
127,xing2014theAnomaly-CC.superconductors.tei.xml,21,LiFe 1−x Ni x As single crystal
128,xing2014theAnomaly-CC.superconductors.tei.xml,21,LiFe 1−x Ni x As single crystal
129,xing2014theAnomaly-CC.superconductors.tei.xml,22,LiFeAs
130,xing2014theAnomaly-CC.superconductors.tei.xml,22,Cu 6% doped LiFeAs
131,xing2014theAnomaly-CC.superconductors.tei.xml,22,LiFeAs
132,xing2014theAnomaly-CC.superconductors.tei.xml,22,Cu 6% doped LiFeAs
133,P068214517-CC.superconductors.tei.xml,0,Na x CoO 2 •4xD 2 O (x≈ ≈ ≈ ≈1/3)
134,P068214517-CC.superconductors.tei.xml,1,Na 0.31(3) CoO 2 •1.25(2)D 2 O
135,P068214517-CC.superconductors.tei.xml,1,Na 0.61(1) CoO 2
136,P068214517-CC.superconductors.tei.xml,1,Na 0.61(1) CoO 2
137,P068214517-CC.superconductors.tei.xml,1,Na 0.31(3) CoO 2 •1.25(2)D 2 O
138,P068214517-CC.superconductors.tei.xml,1,1:4 ratio of Na to D 2 O
139,P068214517-CC.superconductors.tei.xml,1,Na x CoO 2 •yD 2 O
140,P068214517-CC.superconductors.tei.xml,2,hydrated sodium cobaltate
141,P068214517-CC.superconductors.tei.xml,2,Na 0.3 CoO 2 •1.4H 2 O
142,P068214517-CC.superconductors.tei.xml,2,Na x CoO 2
143,P068214517-CC.superconductors.tei.xml,2,Na x CoO 2
144,P068214517-CC.superconductors.tei.xml,2,Na x CoO 2
145,P068214517-CC.superconductors.tei.xml,2,Na x CoO 2
146,P068214517-CC.superconductors.tei.xml,2,1/4≤x≤1/3
147,P068214517-CC.superconductors.tei.xml,2,Na x CoO 2 •1.3H 2 O
148,P068214517-CC.superconductors.tei.xml,2,x≈0.3
149,P068214517-CC.superconductors.tei.xml,2,Na 0.3 CoO 2 •0.6H 2 O
150,P068214517-CC.superconductors.tei.xml,2,Na 2/3 (Co x Ni 1/3-x Mn 2/3 )O 2
151,P068214517-CC.superconductors.tei.xml,2,Li 0.12 K 0.35 MnO 2.14 •0.45H 2 O
152,P068214517-CC.superconductors.tei.xml,2,Na x CoO 2 •yH 2 O
153,P068214517-CC.superconductors.tei.xml,3,Na 0.61 CoO 2
154,P068214517-CC.superconductors.tei.xml,3,Na 0.31 CoO 2 •1.25D 2 O
155,P068214517-CC.superconductors.tei.xml,3,Na 0.61 CoO 2
156,P068214517-CC.superconductors.tei.xml,3,Na to D 2 O ratio is four
157,P068214517-CC.superconductors.tei.xml,3,Na 0.31(3) CoO 2 •1.25(2)D 2 O
158,P068214517-CC.superconductors.tei.xml,3,1:4 ratio of Na to D 2 O
159,P068214517-CC.superconductors.tei.xml,4,Na 0.61(1) CoO 2
160,P068214517-CC.superconductors.tei.xml,4,Na 0.7 CoO 2
161,P068214517-CC.superconductors.tei.xml,4,Na 0.61(1) CoO 2
162,P068214517-CC.superconductors.tei.xml,4,Na 0.61 CoO 2 powder
163,P068214517-CC.superconductors.tei.xml,4,Na 0.3 CoO 2 •0.6D 2 O
164,P068214517-CC.superconductors.tei.xml,6,Na 0.61 CoO 2
165,P068214517-CC.superconductors.tei.xml,6,Na 0.31 CoO 2 •1.25D 2 O
166,P068214517-CC.superconductors.tei.xml,9,Na 0.61 CoO 2
167,P068214517-CC.superconductors.tei.xml,10,Na 0.31 CoO 2 •1.25D 2 O
168,P068214517-CC.superconductors.tei.xml,10,x≈0.3
169,P068214517-CC.superconductors.tei.xml,11,Na 0.31(3) CoO 2 •1.25(2)D 2 O
170,P068214517-CC.superconductors.tei.xml,12,NaCoO 2 •12D 2 O
171,P068214517-CC.superconductors.tei.xml,12,Na 1/3 CoO 2 •(4/3)D 2 O
172,P068214517-CC.superconductors.tei.xml,15,Na x CoO 2 •4xD 2 O (x≈1/3)
173,P068214517-CC.superconductors.tei.xml,16,Na 0.61 CoO 2
174,P068214517-CC.superconductors.tei.xml,16,Na x CoO 2 •4xD 2 O (x≈1/3)
175,P068214517-CC.superconductors.tei.xml,17,Na x CoO 2 •yD 2 O
176,P068214517-CC.superconductors.tei.xml,17,Na x CoO 2 •4xD 2 O with x=1/3
177,P068214517-CC.superconductors.tei.xml,17,Na 0.31(3) CoO 2 •1.25(2)D 2 O
178,P068214517-CC.superconductors.tei.xml,17,1:4 Na to D 2 O ratio
179,P068214517-CC.superconductors.tei.xml,17,x≈0.3
180,P068214517-CC.superconductors.tei.xml,17,x≈0.3
181,P068214517-CC.superconductors.tei.xml,17,Na 0.3 CoO 2 •0.6D 2 O
182,P068214517-CC.superconductors.tei.xml,17,1:4 ratio of Na to D 2 O
183,P068214517-CC.superconductors.tei.xml,17,Na contents above x=1/3
184,P068214517-CC.superconductors.tei.xml,18,Na concentrations below x≈0.3
185,P068214517-CC.superconductors.tei.xml,18,Na 1/3
186,P068214517-CC.superconductors.tei.xml,18,Na 1/4
187,P068214517-CC.superconductors.tei.xml,18,x=1/3 and 1/4
188,P068214517-CC.superconductors.tei.xml,18,Na concentration below x=1/3
189,P068214517-CC.superconductors.tei.xml,18,x=1/3
190,P068214517-CC.superconductors.tei.xml,18,Na content from x=1/3
191,P068214517-CC.superconductors.tei.xml,18,x=1/4
192,P068214517-CC.superconductors.tei.xml,18,x=1/4
193,P068214517-CC.superconductors.tei.xml,18,Na concentration from 0.30 to 0.26
194,P068214517-CC.superconductors.tei.xml,18,Na 1/3
195,P068214517-CC.superconductors.tei.xml,18,Na 1/4
196,P068214517-CC.superconductors.tei.xml,18,x=1/4
197,P068214517-CC.superconductors.tei.xml,19,Na x CoO 2 •yD 2 O
198,P068214517-CC.superconductors.tei.xml,19,Na x CoO 2 •4xD 2 O (x≈1/3)
199,P068214517-CC.superconductors.tei.xml,19,x=0.31(3)
200,P068214517-CC.superconductors.tei.xml,19,1:4 Na to D 2 O ratio
201,P068214517-CC.superconductors.tei.xml,19,x≥1/3
202,P068214517-CC.superconductors.tei.xml,20,Na 0.61 CoO 2
203,P068214517-CC.superconductors.tei.xml,21,Na 0.31 CoO 2 •1.25D 2 O
204,P068214517-CC.superconductors.tei.xml,22,Na 0.31(3) CoO 2 •yD 2 O
205,P068214517-CC.superconductors.tei.xml,23,Na 0.31 CoO 2 •1.25D 2 O
206,P068214517-CC.superconductors.tei.xml,24,Na 0.61 CoO 2
207,P068214517-CC.superconductors.tei.xml,24,Na 0.31 CoO 2 •1.25D 2 O
208,P068214517-CC.superconductors.tei.xml,24,Na 0.31 CoO 2 •1.25D 2 O
209,P068214517-CC.superconductors.tei.xml,25,Na 0.61 CoO 2
210,P068214517-CC.superconductors.tei.xml,26,Na 0.61 CoO 2
211,P068214517-CC.superconductors.tei.xml,27,Na 0.31 CoO 2 •1.25D 2 O
212,P068214517-CC.superconductors.tei.xml,27,Na 1/3 CoO 2 •(4/3)D 2 O
213,P068214517-CC.superconductors.tei.xml,27,1:4 Na to D 2 O ratio
214,P068214517-CC.superconductors.tei.xml,27,Na 1/4 CoO 2 •(3/2)D 2 O
215,P068214517-CC.superconductors.tei.xml,28,Co 3 O 4
216,P068214517-CC.superconductors.tei.xml,29,Na x CoO 2 •4xD 2 O (x≈1/3)
217,P070020503-CC.superconductors.tei.xml,0,RbOs 2 O 6
218,P070020503-CC.superconductors.tei.xml,1,RbOs 2 O 6
219,P070020503-CC.superconductors.tei.xml,1,RbOs 2 O 6
220,P070020503-CC.superconductors.tei.xml,1,KOs 2 O 6
221,P070020503-CC.superconductors.tei.xml,1,Cd 2 Re 2 O 7
222,P070020503-CC.superconductors.tei.xml,1,KOs 2 O 6
223,P070020503-CC.superconductors.tei.xml,2,Cd 2 Re 2 O 7
224,P070020503-CC.superconductors.tei.xml,2,KOs 2 O 6
225,P070020503-CC.superconductors.tei.xml,2,RbOs 2 O 6
226,P070020503-CC.superconductors.tei.xml,2,RbOs 2 O 6
227,P070020503-CC.superconductors.tei.xml,4,RbOs 2 O 6
228,P070020503-CC.superconductors.tei.xml,4,RbOs 2 O 6
229,P070020503-CC.superconductors.tei.xml,4,bulk superconductor Cd 2 Re 2 O 7
230,P070020503-CC.superconductors.tei.xml,4,KOs 2 O 6
231,P070020503-CC.superconductors.tei.xml,4,"Cd 2 (Os,Re) 2 O 7"
232,P070020503-CC.superconductors.tei.xml,4,RbOs 2 O 6
233,P070020503-CC.superconductors.tei.xml,4,"Cd 2 (Os,Re) 2 O 7"
234,P070020503-CC.superconductors.tei.xml,5,RbOs 2 O 6
235,P070020503-CC.superconductors.tei.xml,6,Polycrystalline samples of RbOs 2 O 6
236,P070020503-CC.superconductors.tei.xml,6,RbOs 2 O 6
237,P070020503-CC.superconductors.tei.xml,6,RbOsO 4
238,P070020503-CC.superconductors.tei.xml,6,RbOsO 4
239,P070020503-CC.superconductors.tei.xml,6,KOs 2 O 6
240,P070020503-CC.superconductors.tei.xml,6,KOs 2 O 6
241,P070020503-CC.superconductors.tei.xml,6,RbOs 2 O 6
242,P070020503-CC.superconductors.tei.xml,6,KOs 2 O 6
243,P070020503-CC.superconductors.tei.xml,6,RbOs 2 O 6
244,P070020503-CC.superconductors.tei.xml,6,AB 2 O 6
245,P070020503-CC.superconductors.tei.xml,9,RbOs 2 O 6
246,P070020503-CC.superconductors.tei.xml,9,RbOs 2 O 6
247,P070020503-CC.superconductors.tei.xml,10,KOs 2 O 6
248,P070020503-CC.superconductors.tei.xml,10,RbOs 2 O 6
249,P070020503-CC.superconductors.tei.xml,10,KOs 2 O 6
250,P070020503-CC.superconductors.tei.xml,14,RbOs 2 O 6
251,P070020503-CC.superconductors.tei.xml,14,KOs 2 O 6
252,P070020503-CC.superconductors.tei.xml,14,Cd 2 Re 2 O 7
253,P070020503-CC.superconductors.tei.xml,14,RbOs 2 O 6
254,P070020503-CC.superconductors.tei.xml,14,RbOs 2 O 6
255,P070020503-CC.superconductors.tei.xml,16,RbOs 2 O 6
256,P070020503-CC.superconductors.tei.xml,16,KOs 2 O 6
257,P070020503-CC.superconductors.tei.xml,19,KOs 2 O 6
258,PHC1910237.superconductors.tei.xml,1,Sr2Nd1.5Ce0.5NbCu2O10-δ
259,PHC1910237.superconductors.tei.xml,2,Sr 2 Nd 1.5 Ce 0.5 NbCu 2 -O 10-δ
260,PHC1910237.superconductors.tei.xml,3,Nb based
261,PHC1910237.superconductors.tei.xml,3,"Sr 2 Nd 2-x Ce x NbCu 2 O 10 for 0.4 x 0.7, ∆x=0.05"
262,PHC1910237.superconductors.tei.xml,3,x 0.6
263,PHC1910237.superconductors.tei.xml,3,Sr 2 Nd 2-x Ce x NbCu 2 O 10
264,PHC1910237.superconductors.tei.xml,3,x=0.5 and 0.6
265,PHC1910237.superconductors.tei.xml,4,Sr 2 Nd 1-x Ce x NbCu 2 O 10
266,PHC1910237.superconductors.tei.xml,4,0.5 x 0.7
267,PHC1910237.superconductors.tei.xml,4,Ce=0.5-0.6
268,PHC1910237.superconductors.tei.xml,4,0.5 x 0.7
269,PHC1910237.superconductors.tei.xml,5,Sr 2 Nd 1.5 Ce 0.5 NbCu 2 O 10-δ
270,PHC1910237.superconductors.tei.xml,5,Nb 2 O 5
271,PHC1910237.superconductors.tei.xml,5,Sr 2 Nd 1.5 Ce 0.5 NbCu 2 O 10-δ
272,PHC1910237.superconductors.tei.xml,5,Ce 0.5
273,PHC1910237.superconductors.tei.xml,6,"(Nd,Sr,Ce) 2 CuO 4"
274,PHC1910237.superconductors.tei.xml,7,Sr 2 Nd 1.5 Ce 0.5 NbCu 2 O 10
275,PHC1910237.superconductors.tei.xml,7,Sr 2 Nd 1.4 Ce 0.6 NbCu 2 O 10-δ
276,PHC1910237.superconductors.tei.xml,7,Sr 2 Nd 1.5 Ce 0.5 TaCu 2 O 10
277,PHC1910237.superconductors.tei.xml,8,Sr 2 Nd 2-x Ce x (Nb or Ta)Cu 2 O 10-δ
278,PHC1910237.superconductors.tei.xml,10,Ba2LaNbCu2O8
279,PHC1910237.superconductors.tei.xml,10,Sr2Nd1.5Ce0.5NbCu2O10
280,PHC1910237.superconductors.tei.xml,10,Ba2YCu3O7
281,PHC1910237.superconductors.tei.xml,12,δ=0.05
282,PHC1910237.superconductors.tei.xml,12,Sr2Nd1.5Ce0.5NbCu2O10-δ
283,PHC1910237.superconductors.tei.xml,13,Sr2Nd1.5Ce0.5NbCu2O10-δ
284,PHC1910237.superconductors.tei.xml,14,Sr2Nd1.5Ce0.5NbCu2O
285,PHC1910237.superconductors.tei.xml,15,Sr2Nd1.5Ce0.5NbCu2O10
286,PHC1910237.superconductors.tei.xml,15,Sr2Nd1.5Ce0.5TaCu2O10
287,JPS0731297-CC.superconductors.tei.xml,0,Na z CoO 2 ⋅yH 2 O
288,JPS0731297-CC.superconductors.tei.xml,1,Na z Co 1-x M x O 2 ⋅yH 2 O
289,JPS0731297-CC.superconductors.tei.xml,1,M=Ir and Ga
290,JPS0731297-CC.superconductors.tei.xml,2,Na z CoO 2 ⋅yH 2 O
291,JPS0731297-CC.superconductors.tei.xml,3,layered cobalt oxide Na z CoO 2 ⋅yH 2 O ( z~0.3 and y~1.3)
292,JPS0731297-CC.superconductors.tei.xml,7,Polycrystalline samples of Na z' Co 1-x M x O 2 (M=Ir and Ga)
293,JPS0731297-CC.superconductors.tei.xml,7,z' was 0.7 or 0.75
294,JPS0731297-CC.superconductors.tei.xml,7,Na z' Co 1-x M x O 2 (M=Ir and Ga)
295,JPS0731297-CC.superconductors.tei.xml,7,M=Ir and Ga
296,JPS0731297-CC.superconductors.tei.xml,7,M=Ir and for Ga
297,JPS0731297-CC.superconductors.tei.xml,7,x=0
298,JPS0731297-CC.superconductors.tei.xml,7,Na z' Co 1-x M x O 2
299,JPS0731297-CC.superconductors.tei.xml,8,Na z Co 1-x M x O 2 ⋅yH 2 O
300,JPS0731297-CC.superconductors.tei.xml,8,Na z' Co 1-x M x O 2
301,JPS0731297-CC.superconductors.tei.xml,8,Na z' Co 1-x M x O 2
302,JPS0731297-CC.superconductors.tei.xml,9,Ir-doped system
303,JPS0731297-CC.superconductors.tei.xml,9,Ga-doped system
304,JPS0731297-CC.superconductors.tei.xml,9,Co 1-x M x O 2
305,JPS0731297-CC.superconductors.tei.xml,9,Na z Co 1-x M x O 2 ⋅yH 2 O
306,JPS0731297-CC.superconductors.tei.xml,10,z' is 0.75
307,JPS0731297-CC.superconductors.tei.xml,10,Na z' Co 1-x Ir x O 2
308,JPS0731297-CC.superconductors.tei.xml,11,x as small as 0.02
309,JPS0731297-CC.superconductors.tei.xml,11,Na z Co 1-x Ir x O 2 ⋅yH 2 O
310,JPS0731297-CC.superconductors.tei.xml,11,Na z' Co 1-x Ir x O 2
311,JPS0731297-CC.superconductors.tei.xml,12,Series B of Ir-doped system
312,JPS0731297-CC.superconductors.tei.xml,12,z' is 0.75
313,JPS0731297-CC.superconductors.tei.xml,12,series B of Ir-doped system
314,JPS0731297-CC.superconductors.tei.xml,12,x=0
315,JPS0731297-CC.superconductors.tei.xml,13,Series of Ga-doped system
316,JPS0731297-CC.superconductors.tei.xml,13,z' is 0.7
317,JPS0731297-CC.superconductors.tei.xml,13,Na z Co 1-x Ir x O 2 ⋅yH 2 O
318,JPS0731297-CC.superconductors.tei.xml,13,Na z' Co 1-x M x O 2
319,JPS0731297-CC.superconductors.tei.xml,13,Na z Co 1-x M x O 2 ⋅yH 2 O (M=Ir and Ga)
320,JPS0731297-CC.superconductors.tei.xml,15,Na z' Co 1-x Ir x O 2
321,JPS0731297-CC.superconductors.tei.xml,15,La 1.85 Sr 0.15 Cu 1-x Zn x O 4
322,JPS0731297-CC.superconductors.tei.xml,15,Mg(B 1-x C x ) 2
323,JPS0731297-CC.superconductors.tei.xml,15,Mg(B 1-x C x ) 2
324,JPS0731297-CC.superconductors.tei.xml,15,La 1.85 Sr 0.15 Cu 1-x Zn x O 4
325,JPS0731297-CC.superconductors.tei.xml,15,Cu(Co 1-x M x ) 2 S 4
326,JPS0731297-CC.superconductors.tei.xml,15,(Co 1-x M x ) 4
327,JPS0731297-CC.superconductors.tei.xml,15,Na z Co 1-x Ir x O 2 ⋅yH 2 O
328,JPS0731297-CC.superconductors.tei.xml,15,x=0.01
329,JPS0731297-CC.superconductors.tei.xml,15,La 1.85 Sr 0.15 Cu 1-x Zn x O 4
330,JPS0731297-CC.superconductors.tei.xml,15,Cu(Co 1-x M x ) 2 S 4
331,JPS0731297-CC.superconductors.tei.xml,15,M=Ir
332,JPS0731297-CC.superconductors.tei.xml,15,Na z' CoO 2
333,JPS0731297-CC.superconductors.tei.xml,15,Na z CoO 2 ⋅yH 2 O
334,JPS0731297-CC.superconductors.tei.xml,16,Na z' Co 1-x Ir x O 2
335,JPS0731297-CC.superconductors.tei.xml,16,z'=0.75
336,JPS0731297-CC.superconductors.tei.xml,17,Na z' Co 1-x Ir x O 2
337,JPS0731297-CC.superconductors.tei.xml,17,z'=0.75
338,JPS0731297-CC.superconductors.tei.xml,18,Na z Co 1-x Ir x O 2 ⋅yH 2 O
339,JPS0731297-CC.superconductors.tei.xml,19,Na z Co 1-x Ir x O 2 ⋅yH 2 O
340,JPS0731297-CC.superconductors.tei.xml,20,Na z' Co 1-x Ir x O 2
341,JPS0731297-CC.superconductors.tei.xml,20,z'=0.75
342,JPS0731297-CC.superconductors.tei.xml,21,Na z' Co 1-x Ir x O 2
343,JPS0731297-CC.superconductors.tei.xml,21,z'=0.75
344,JPS0731297-CC.superconductors.tei.xml,22,Na z Co 1-x Ir x O 2 ⋅yH 2 O
