id,filename,par_id,material
59,PR05914099-CC,8,RuSr 2 GdCu 2 O 8
60,PR05914099-CC,11,RuSr 2 GdCu 2 O 8
61,PR05914099-CC,11,RuSr 2 GdCu 2 O 8
62,PR05914099-CC,13,RuSr2GdCu2O8
63,PR05914099-CC,23,RuSr 2 GdCu 2 O 8
64,PR05914099-CC,27,RuSr 2 GdCu 2 O 8
65,PR05511832-CC,17,T l 0.5 P b 0. 5 Sr 2 Ca 1−x Y x Cu 2 O 7
66,PR06015055-CC,6,pure crystals
67,PR05907184-CC,3,x = 0.17
68,PR05907184-CC,3,x = 0.34
69,PR05907184-CC,5,La1.86Sr0.14CuO4
70,PR05907184-CC,8,Sr x = 0.14
71,PR05907184-CC,8,x = 0.13
72,PR05907184-CC,8,x = 0.17
73,PR05907184-CC,25,under- doped La 2−x Sr x CuO 4
74,PR06006991-CC,3,Bi 2 Sr 2−x La x CuO 6 with x≃0.4
75,PR06006991-CC,5,x=0.24
76,PR06006991-CC,5,0.30
77,PR06006991-CC,5,0.44
78,PR06006991-CC,5,0.57
79,PR06006991-CC,5,0.66
80,PR06006991-CC,5,BSLCO
81,PR06006991-CC,12,Tl-2201
82,PR04909084-CC,3,x > 0.22
83,PR06114350-CC,4,x=0
84,PR06114350-CC,4,0.01
85,PR06114350-CC,4,0.02
86,PR06114350-CC,4,0.02
87,PR06114350-CC,4,0.02
88,PR06114350-CC,4,0.02
89,SST01600L7-CC,2,x = 0.15
90,SST01600L7-CC,7,x = 0.063
91,SST01600L7-CC,7,x = 0.125
92,SST01600L7-CC,7,x = 0.125
93,PhysRevX.9.021044-CC,4,Sr 2 RuO 4
94,PhysRevX.9.021044-CC,7,Single-crystalline Sr 2 RuO 4
95,EPL0580589,1,overdoped Bi2Sr2CaCu2O 8+δ
96,EPL0580589,4,Bi-2212
97,EPL0580589,8,underdoped Bi-2212
98,EPL0580589,9,overdoped Bi-2212
99,EPL0580589,10,underdoped and overdoped Bi-2212
100,EPL0580589,10,underdoped and overdoped Bi-2212
101,EPL0580589,10,underdoped and overdoped Bi-2212
102,EPL0580589,10,underdoped and overdoped Bi-2212
103,EPL0580589,11,overdoped Bi-2212
104,EPL0580589,12,overdoped Bi-2212
105,EPL0580589,12,overdoped Bi-2212
106,EPL0580589,19,overdoped Bi-2212
107,EPL0580589,19,underdoped Bi-2212
108,Tanaka_etal_2017-CC,1,CeOBiS2
109,Tanaka_etal_2017-CC,1,non-doped CeOBiS2
110,Tanaka_etal_2017-CC,18,CeOBiS2
111,Tanaka_etal_2017-CC,19,"Ce(O,F)BiS2"
112,Tanaka_etal_2017-CC,21,CeOBiS2
113,Tanaka_etal_2017-CC,21,CeOBiS2 crystals
114,Tanaka_etal_2017-CC,22,CeOBiS2
115,Tanaka_etal_2017-CC,22,CeOBiS2
116,Tanaka_etal_2017-CC,25,CeOBiS2 crystals
117,Tanaka_etal_2017-CC,25,CeOBiS2 crystals
118,Tanaka_etal_2017-CC,36,CeOBiS2 crystals
119,Drozdov_etal_2015,0,
120,Drozdov_etal_2015,1,sulfur hydride
121,Drozdov_etal_2015,1,
122,Drozdov_etal_2015,1,
123,Drozdov_etal_2015,1,
124,Drozdov_etal_2015,1,
125,Drozdov_etal_2015,2,MgB 2
126,Drozdov_etal_2015,3,molecular hydrogen
127,Drozdov_etal_2015,3,molecular hydrogen
128,Drozdov_etal_2015,4,H 2 S
129,Drozdov_etal_2015,7,
130,Drozdov_etal_2015,7,
131,Drozdov_etal_2015,9,H 2 S
132,Drozdov_etal_2015,9,H 2 S
133,Drozdov_etal_2015,9,H 3 S
134,Drozdov_etal_2015,9,H 3 S
135,Drozdov_etal_2015,9,H 3 S
136,Drozdov_etal_2015,9,H 3 S
137,Drozdov_etal_2015,10,H 3 S
138,Drozdov_etal_2015,20,sulfur hydride
139,Drozdov_etal_2015,20,sulfur hydride
140,Drozdov_etal_2015,20,sulfur hydride
141,Drozdov_etal_2015,20,sulfur hydride
142,Drozdov_etal_2015,22,
143,Drozdov_etal_2015,23,sulfur hydride
144,Drozdov_etal_2015,23,sulfur hydride
145,Drozdov_etal_2015,23,sulfur hydride
146,Drozdov_etal_2015,23,
147,Drozdov_etal_2015,23,
148,Drozdov_etal_2015,23,
149,Drozdov_etal_2015,25,sulfur hydride
150,Drozdov_etal_2015,25,sulfur hydride
151,Drozdov_etal_2015,25,sulfur hydride
152,Drozdov_etal_2015,25,sulfur hydride
153,Drozdov_etal_2015,25,
154,L088227002-CC,1,doped Sr 0.9 La 0.1 CuO 2
155,L088227002-CC,2,Sr 0.9 La 0.1 CuO 2
156,L088227002-CC,3,SLCO
157,L088227002-CC,3,1% Zn-SLCO
158,L088227002-CC,3,1% Ni-SLCO
159,L088227002-CC,3,doped YBa 2 Cu 3 O 72d
160,L088227002-CC,16,doped YBa 2 Cu 3 O 72d
161,SSC1310125-CC,1,Na 0.22 H 0.1 CoO 2 • 0.85H 2 O
162,SSC1310125-CC,3,"Na x CoO 2 • yH 2 O (x ≈ 0.35, y ≈ 1.3)"
163,SSC1310125-CC,3,"Na x CoO 2 • yH 2 O (x ≈ 0.35, y ≈ 1.3)"
164,SSC1310125-CC,17,Na 0.22 H 0.1 CoO 2 • 0.85H 2 O
165,SSC1310125-CC,17,Na 0.22 H 0.1 CoO 2 • 0.85H 2 O
166,SSC1310125-CC,17,Na 0.22 H 0.1 CoO 2 • 0.85H 2 O
167,SSC1310125-CC,17,Na 0.22 H 0.1 CoO 2 • 0.85H 2 O
168,SSC1310125-CC,22,Na 0.22 H 0.1 CoO 2 • 0.85H 2 O
169,L093156802-CC,2,CaC 6
170,L093156802-CC,4,CaC 6
171,L095167004-CC,1,"AOs 2 O 6 (A = Cs, Rb, K)"
172,L095167004-CC,1,"AOs 2 O 6 (A = Cs, Rb, K)"
173,L095167004-CC,1,"AOs 2 O 6 (A = Cs, Rb, K)"
174,L095167004-CC,1,"AOs 2 O 6 (A = Cs, Rb, K)"
175,L095167004-CC,2,"AOs 2 O 6 (A = Cs, Rb, K)"
176,L095167004-CC,2,"AOs 2 O 6 (A = Cs, Rb, K)"
177,L095167004-CC,2,"AOs 2 O 6 (A = Cs, Rb, K)"
178,L095167004-CC,2,"AOs 2 O 6 (A = Cs, Rb, K)"
179,L095167004-CC,5,Cd 2 Re 2 O 7
180,L095167004-CC,8,CsOs 2 O 6
181,L095167004-CC,8,CsOs 2 O 6
182,L095167004-CC,8,CsOs 2 O 6
183,L095167004-CC,8,CsOs 2 O 6
184,L095167004-CC,8,CsOs 2 O 6
185,L095167004-CC,8,CsOs 2 O 6
186,L095167004-CC,8,CsOs 2 O 6
187,L095167004-CC,9,RbOs 2 O 6
188,L095167004-CC,9,KOs 2 O 6
189,L095167004-CC,9,
190,L095167004-CC,9,
191,L095167004-CC,9,
192,L095167004-CC,9,"AOs 2 O 6 (A = Cs, Rb, K)"
193,L095167004-CC,21,"AOs 2 O 6 (A = Cs, Rb, K)"
194,L095167004-CC,21,"AOs 2 O 6 (A = Cs, Rb, K)"
195,L095167004-CC,21,"AOs 2 O 6 (A = Cs, Rb, K)"
196,L095167004-CC,21,"AOs 2 O 6 (A = Cs, Rb, K)"
197,L094047001-CC,5,CeCoIn 5
198,L094037007-CC,1,CeIrIn5
199,L094037007-CC,2,CeIrIn 5
200,L094037007-CC,2,CeCoIn 5
201,L094037007-CC,2,CeRhIn 5
202,L094037007-CC,3,CeRhIrIn 5
203,L094037007-CC,3,CeIrIn 5
204,L094037007-CC,6,CeIrIn 5
205,L094037007-CC,14,CeIrIn 5
206,L093157004-CC,1,RbOs 2 O 6
207,L093157004-CC,2,KOs 2 O 6
208,L093157004-CC,2,CdRe 2 O 7
209,L093157004-CC,2,RbOs 2 O 6
210,L093157004-CC,2,CsOs 2 O 6
211,L093157004-CC,6,In
212,L093157004-CC,6,In
213,L090137002-CC,4,underdoped Bi 2 Sr 2 CaCu 2 O 8+δ
214,Li_2018_Supercond._Sci._Technol._31_085001,4,Zr 5 Sb 3
215,Li_2018_Supercond._Sci._Technol._31_085001,9,Ge site doped sample Zr 5 Ge 2.5 Pt 0.5
216,Li_2018_Supercond._Sci._Technol._31_085001,10,Zr 5 Pt 3
217,Li_2018_Supercond._Sci._Technol._31_085001,12,Zr 5 Ge 2.8 Pt 0.2
218,Li_2018_Supercond._Sci._Technol._31_085001,12,Zr 5 Ge 2 Pt
219,Li_2018_Supercond._Sci._Technol._31_085001,12,Zr 5 Ge 2.5 Pt 0.5
220,Li_2018_Supercond._Sci._Technol._31_085001,13,Zr 5 Ge 2.5 Pt 0.5
221,Li_2018_Supercond._Sci._Technol._31_085001,13,Zr 5 Ge 2.5 Pt 0.5
222,Li_2018_Supercond._Sci._Technol._31_085001,14,Zr 5 Pt 3
223,Li_2018_Supercond._Sci._Technol._31_085001,15,Zr 5 Sb 3
224,Li_2018_Supercond._Sci._Technol._31_085001,16,Zr 5 Ge 2.5 Pt 0.5
225,Li_2018_Supercond._Sci._Technol._31_085001,18,Zr 5 Ge 2.5 Pt 0.5
226,SSC1280097-CC,1,x = 0.5 (La-2125 stoichiometry)
227,SSC1280097-CC,4,x = 0.5
228,SSC1280097-CC,13,La-2125
229,EPL0410207-CC,4,single-crystalline Ba 1−x K x BiO 3
230,EPL0410207-CC,4,Ba 1−x K x BiO 3 single crystal
231,EPL0410207-CC,13,Ba 1−x K x BiO 3 crystal
232,L094047006-CC,1,x=0.40
233,L094047006-CC,6,Bi 2 Sr 2 CuO 6.36
234,L094047006-CC,6,x=0.4
235,L094047006-CC,11,x opt =0.40
236,L094047006-CC,15,x ≤0.40
237,L094047006-CC,16,Bi2Sr2CuO 6+δ
238,L094047006-CC,16,x=0
239,L091217001-CC,18,Na x CoO 2 • yH 2 O
240,L091217001-CC,20,Na x CoO 2 • yH 2 O
241,L094127001-CC,5,Sr 0.9 La 0.1 CuO 2
242,L094127001-CC,5,Sr 0.9 La 0.1 CuO 2
243,L094127001-CC,7,Sr 0.9 La 0.1 CuO 2 (SLCO)
244,SSC1270493-CC,1,x = 0.3
245,SSC1270493-CC,4,Ga-1212
246,SSC1270493-CC,4,Al-1212
247,SSC1270493-CC,4,Co-1212
248,SSC1270493-CC,4,CoSr 2 YCu 2 O 7+δ
249,SSC1270493-CC,12,x = 0.3
250,SSC1270493-CC,16,x = 0.4 sample using 25 and 100 mol-% Ag 2 O 2
251,SSC1270493-CC,16,x = 0.4 sample using 25 and 100 mol-% Ag 2 O 2
252,SSC1270493-CC,16,x = 0.3
253,SSC1230017-CC,3,pure-phase Sr 0.9 La 0.1 CuO 2 (Sr(La)-112)
254,PhysRevX.8.041024-CC,6,Cu x Bi 2 Se 3 (x ¼ 0.31) single crystals
255,EPJ0290369-CC,11,La 1.94 Sr 0.06 CuO 4
256,EPJ0290369-CC,11,La 1.94 Sr 0.06 CuO 4
257,EPJ0290369-CC,13,La 1.9 Sr 0.1 CuO 4
258,EPJ0290369-CC,13,La 1.9 Sr 0.1 CuO 4
259,EPJ0290369-CC,13,La 1.9 Sr 0.1 CuO 4
260,EPJ0290369-CC,14,overdoped La 1.8 Sr 0.2 CuO 4
261,EPJ0290369-CC,16,overdoped La 1.75 Sr 0.25 CuO 4
262,EPJ0290369-CC,16,La 1.75 Sr 0.25 CuO 4
263,EPJ0290369-CC,17,La 1.73 Sr 0.27 CuO 4
264,EPJ0290369-CC,22,La 2-x Sr x CuO 4 samples with x = 0.05 and 0.055
265,EPJ0290369-CC,23,La 1.94 Sr 0.06 CuO 4
266,EPJ0290369-CC,24,La 1.8 Sr 0.2 CuO 4
267,EPJ0290369-CC,24,La 1.75 Sr 0.25 CuO 4
268,EPJ0290369-CC,24,La 1.73 Sr 0.27 CuO 4
269,EPJ0290369-CC,30,La 1.94 Sr 0.06 CuO 4
270,EPJ0290369-CC,30,La 1.9 Sr 0.1 CuO 4
271,EPJ0290369-CC,34,La 1.9 Sr 0.1 CuO 4
272,EPJ0290369-CC,38,La 1.94 Sr 0.06 CuO 4
273,EPJ0290369-CC,38,La 1.9 Sr 0.1 CuO 4
274,APL0774202-CC,12,YBCO crystals
275,APL0774202-CC,12,BSCCO
276,APL0774202-CC,13,Single crystals of PCCO
277,APL0774202-CC,16,Al
278,APL0774202-CC,16,Al
279,L088207003-CC,1,doped Pr1.855Ce0.145CuO4−y films
280,L088207003-CC,4,Pr 2 CuO 4
281,Liu_2018_Supercond._Sci._Technol._31_125011-CC,4,SnSb
282,Liu_2018_Supercond._Sci._Technol._31_125011-CC,4,
283,Liu_2018_Supercond._Sci._Technol._31_125011-CC,4,
284,Liu_2018_Supercond._Sci._Technol._31_125011-CC,7,SnSb
285,Liu_2018_Supercond._Sci._Technol._31_125011-CC,10,SnSb
286,Liu_2018_Supercond._Sci._Technol._31_125011-CC,11,SnSb
287,Liu_2018_Supercond._Sci._Technol._31_125011-CC,18,SnSb
288,Liu_2018_Supercond._Sci._Technol._31_125011-CC,18,
289,Liu_2018_Supercond._Sci._Technol._31_125011-CC,22,SnSb
290,L090137001-CC,6,Single crystal of Sr 2 Ca 12 Cu 24 O 41
291,L095117006-CC,2,2H-NbSe 2
292,1609.04957-CC,1,LaFeAsO1−xHx
293,1609.04957-CC,1,LaFeAsO1−xHx
294,1609.04957-CC,2,
295,1609.04957-CC,4,x = 0.14
296,1609.04957-CC,7,
297,1609.04957-CC,8,K y Fe 2−x Se 2
298,1609.04957-CC,14,x = 0.20
299,1903.04321-CC,1,Cu-intercalated PdTe2
300,1903.04321-CC,2,PdTe 2
301,1903.04321-CC,3,Cu-intercalated PdTe 2 with 4% Cu
302,L092157004-CC,7,
303,L092157004-CC,8,
304,L092157004-CC,12,Na 0.3 CoO 2 •yH 2 O
305,L092157004-CC,15,single crystals of the hydrated Na x CoO 2 • yH 2 O
306,Carnicom_2018_Supercond._Sci._Technol._31_115005,1,WB 4.2
307,Carnicom_2018_Supercond._Sci._Technol._31_115005,3,MgB 2
308,Carnicom_2018_Supercond._Sci._Technol._31_115005,3,(Mo 0.96 Zr 0.04 ) 0.85 B 2
309,Carnicom_2018_Supercond._Sci._Technol._31_115005,3,NbB 2
310,Carnicom_2018_Supercond._Sci._Technol._31_115005,5,WB 4.2
311,Carnicom_2018_Supercond._Sci._Technol._31_115005,12,WB 4.2
312,Carnicom_2018_Supercond._Sci._Technol._31_115005,13,WB 4.2
313,Carnicom_2018_Supercond._Sci._Technol._31_115005,13,WB 4.2
314,Carnicom_2018_Supercond._Sci._Technol._31_115005,16,WB 4.2
315,Carnicom_2018_Supercond._Sci._Technol._31_115005,17,WB 4.2
316,Carnicom_2018_Supercond._Sci._Technol._31_115005,17,WB 4.2
317,Carnicom_2018_Supercond._Sci._Technol._31_115005,17,WB 4.2
318,Carnicom_2018_Supercond._Sci._Technol._31_115005,17,WB 4.2
319,JPS081033701-CC,4,x = 0.20
320,JPS081033701-CC,4,x = 0.25
321,JPS081033701-CC,4,x = 0.25
322,JPS081033701-CC,4,x = 0.25
323,JPS081033701-CC,4,x = 0.25
324,JPS081033701-CC,4,x = 0.25
325,JPS081033701-CC,5,x = 0.25
326,JPS081033701-CC,9,x = 0.25
327,L089147002-CC,3,Cd 2 Re 2 O 7
328,L089147002-CC,3,Cd 2 Re 2 O 7
329,L088167005-CC,3,un- twinned YBa 2 Cu 3 O y (YBCO) single crystals
330,L088167005-CC,5,y=6.50
331,L091087001-CC,2,PCCO films onto Pr 2 CuO 4 (PCO)/SrTiO 3
332,L091087001-CC,4,Zn plate
333,JPS081113707-CC,2,FeSe
334,JPS081113707-CC,2,K 0.8 Fe 2 Se 2
335,JPS081113707-CC,2,(LiNH 2 ) x Fe 2 Se 2
336,JPS081113707-CC,2,FeSe monolayer synthesized by MBE method
337,JPS081113707-CC,2,
338,JPS081113707-CC,6,FeTe 0.65 Se 0.35 thin films
339,Suzuki_etal_2015-CC,1,Polycrystalline EuFBiS 2
340,Suzuki_etal_2015-CC,4,EuFBiS 2
341,Suzuki_etal_2015-CC,4,EuFBiS 2
342,Suzuki_etal_2015-CC,4,EuFBiS 2
343,Suzuki_etal_2015-CC,4,EuFBiS 2
344,Suzuki_etal_2015-CC,5,EuFBiS 2
345,Suzuki_etal_2015-CC,5,EuFBiS 2
346,Suzuki_etal_2015-CC,5,EuFBiS 2
347,Suzuki_etal_2015-CC,5,EuFBiS 2
348,Suzuki_etal_2015-CC,5,EuFBiS 2
349,Suzuki_etal_2015-CC,9,EuFBiS 2
350,Suzuki_etal_2015-CC,9,EuFBiS 2
351,Suzuki_etal_2015-CC,9,EuFBiS 2
352,Suzuki_etal_2015-CC,10,EuFBiS 2
353,Suzuki_etal_2015-CC,10,EuFBiS 2
354,Suzuki_etal_2015-CC,10,EuFBiS 2
355,Suzuki_etal_2015-CC,10,EuFBiS 2
356,SST0180041-CC,1,Pr 1−x Ca x Ba 2 Cu 3 O 7−δ (x ≈0.5) thin films
357,SST0180041-CC,1,Pr 1−x Ca x Ba 2 Cu 3 O 7−δ (x ≈0.5) thin films
358,SST0180041-CC,4,Pr 0.5 Ca 0.5 Ba 2 Cu 3 O 7−δ epitaxial thin films
359,SST0180041-CC,6,Pr 0.5 Ca 0.5 Ba 2 Cu 3 O 7−δ epitaxial thin films
360,SST0180041-CC,14,Pr 0.5 Ca 0.5 Ba 2 Cu 3 O 7−δ epitaxial thin films
361,SST0180041-CC,14,Pr 0.5 Ca 0.5 Ba 2 Cu 3 O 7−δ epitaxial thin films
362,SST0180041-CC,14,Pr 0.5 Ca 0.5 Ba 2 Cu 3 O 7−δ epitaxial thin films
363,SST0180041-CC,15,Pr 0.5 Ca 0.5 Ba 2 Cu 3 O 7−δ thin films grown on STO
364,SST0180041-CC,18,Pr 0.5 Ca 0.5 Ba 2 Cu 3 O 7−δ films grown on (a) STO and (b) YSZ
365,SST0180041-CC,18,Pr 0.5 Ca 0.5 Ba 2 Cu 3 O 7−δ films grown on (a) STO and (b) YSZ
366,xing2014theAnomaly-CC,8,undoped LiFeAs crystal
367,xing2014theAnomaly-CC,8,LiFeAs crystal
368,xing2014theAnomaly-CC,9,Cu doping level of 7%
369,kotegawa2008abrupt-CC,0,SrFe 2 As 2
370,kotegawa2008abrupt-CC,2,SrFe2As2
371,kotegawa2008abrupt-CC,3,F-doped system LaFeAsO 1−x F x (ZrCuSiAs-type struc- ture)
372,kotegawa2008abrupt-CC,4,SrFe 2 As 2
373,kotegawa2008abrupt-CC,5,single-crystalline samples of SrFe 2 As 2
374,kotegawa2008abrupt-CC,5,SrFe 2 As 2
375,kotegawa2008abrupt-CC,8,SrFe 2 As 2
376,kotegawa2008abrupt-CC,8,(Ba 0.6 K 0.4 )Fe 2 As 2 and (K 0.4 Sr 0.6 )Fe 2 As 2
377,kotegawa2008abrupt-CC,8,
378,kotegawa2008abrupt-CC,8,SrFe 2 As 2
379,kotegawa2008abrupt-CC,12,SrFe 2 As 2
380,kotegawa2008abrupt-CC,13,
381,kotegawa2008abrupt-CC,14,SrFe 2 As 2
382,kotegawa2008abrupt-CC,14,doped systems
383,kotegawa2008abrupt-CC,14,
384,kotegawa2008abrupt-CC,15,SrFe 2 As 2
385,kotegawa2008abrupt-CC,16,SrFe 2 As 2
386,yamaguchi2014ac,1,LiFeAs
387,yamaguchi2014ac,1,LiFeAs
388,yamaguchi2014ac,5,
389,yamaguchi2014ac,5,
390,yamaguchi2014ac,10,LiFeAs
391,yamaguchi2014ac,10,LiFeAs
392,yamaguchi2014ac,10,LiFeAs
393,yamaguchi2014ac,10,LiFeAs
394,yamaguchi2014ac,10,LiFeAs
395,yamaguchi2014ac,10,LiFeAs
396,yamaguchi2014ac,10,LiFeAs
397,yamaguchi2014ac,10,
398,yamaguchi2014ac,10,
399,yamaguchi2014ac,10,
400,yamaguchi2014ac,10,
401,yamaguchi2014ac,10,
402,yamaguchi2014ac,10,
403,sun2012re-emerging-CC,1,Tl 0.6 Rb 0.4 Fe 1.67 Se 2
404,sun2012re-emerging-CC,1,K 0.8 Fe 1.7 Se 2
405,sun2012re-emerging-CC,1,K 0.8 Fe 1.78 Se 2
406,sun2012re-emerging-CC,1,K 0.8 Fe 1.78 Se 2
407,sun2012re-emerging-CC,1,
408,sun2012re-emerging-CC,3,Tl 0.6 Rb 0.4 Fe 1.67 Se 2 single crystals
409,sun2012re-emerging-CC,3,Tl 0.6 Rb 0.4 Fe 1.67 Se 2 single crystals
410,sun2012re-emerging-CC,4,Tl 0.6 Rb 0.4 Fe 1.67 Se 2
411,sun2012re-emerging-CC,5,
412,sun2012re-emerging-CC,6,K 0.8 Fe 1.7 Se 2
413,sun2012re-emerging-CC,6,
414,sun2012re-emerging-CC,7,K 0.8 Fe 1.7 Se 2
415,sun2012re-emerging-CC,7,Tl 0.6 Rb 0.4 Fe 1.67 Se 2
416,sun2012re-emerging-CC,11,K 0.8 Fe 1.7 Se 2
417,sun2012re-emerging-CC,15,Tl 0.6 Rb 0.4 Fe 1.67 Se 2
418,sun2012re-emerging-CC,17,K 0.8 Fe 1.7 Se 2
419,piva2015combined-CC,1,pure BaFe 2 As 2
420,piva2015combined-CC,1,BaFe 2−x Cu x As 2
421,piva2015combined-CC,1,x = 0.02
422,piva2015combined-CC,3,RFeAsO (R = La − Gd)
423,piva2015combined-CC,3,"AFe 2 As 2 (A = Ba, Sr, Ca, Eu)"
424,piva2015combined-CC,4,BaFe 2−x Cu x As 2
425,piva2015combined-CC,4,Co-substituted
426,piva2015combined-CC,5,Cu-substituted BaFe 2 As 2 single crystals
427,piva2015combined-CC,5,x = 0.02
428,piva2015combined-CC,10,BaFe 2−x Cu x As 2
429,piva2015combined-CC,10,BaFe 2−x Cu x As 2
430,piva2015combined-CC,10,BaFe 2−x Cu x As 2
431,piva2015combined-CC,10,
432,piva2015combined-CC,12,BaFe 2−x Cu x As 2
433,piva2015combined-CC,12,x = 0.02
434,wang2011effect,3,LaO 1−x F x FeAs
435,wang2011effect,3,LaO 1−x F x FeAs
436,wang2011effect,8,NaFeAs
437,wang2011effect,11,NaFeAs
438,kotegawa2009contrasting-CC,1,Sr2VFeAsO3
439,kotegawa2009contrasting-CC,1,Sr2VFeAsO3
440,kotegawa2009contrasting-CC,1,Sr2ScFePO3
441,kotegawa2009contrasting-CC,1,Sr2ScFePO3
442,kotegawa2009contrasting-CC,3,FeSe
443,kotegawa2009contrasting-CC,5,Sr 2 ScFePO 3
444,kotegawa2009contrasting-CC,5,Sr 2 VFeAsO 3
445,kotegawa2009contrasting-CC,6,
446,kotegawa2009contrasting-CC,6,
447,kotegawa2009contrasting-CC,6,
448,kotegawa2009contrasting-CC,6,
449,kotegawa2009contrasting-CC,6,
450,kotegawa2009contrasting-CC,6,
451,kotegawa2009contrasting-CC,6,
452,kotegawa2009contrasting-CC,6,
453,kotegawa2009contrasting-CC,6,
454,kotegawa2009contrasting-CC,6,
455,kotegawa2009contrasting-CC,10,Sr 2 ScFePO 3
456,kotegawa2009contrasting-CC,10,Sr 2 ScFePO 3
457,kotegawa2009contrasting-CC,10,Sr 2 ScFePO 3
458,kotegawa2009contrasting-CC,10,Sr 2 ScFePO 3
459,kotegawa2009contrasting-CC,10,
460,kotegawa2009contrasting-CC,15,Sr 2 VFeAsO 3
461,kotegawa2009contrasting-CC,15,Sr 2 VFeAsO 3
462,kotegawa2009contrasting-CC,16,Sr 2 VFeAsO 3
463,kotegawa2009contrasting-CC,16,Sr 2 VFeAsO 3
464,kotegawa2009contrasting-CC,16,Sr 2 VFeAsO 3
465,kotegawa2009contrasting-CC,16,Sr 2 VFeAsO 3
466,kotegawa2009contrasting-CC,16,
467,ivanovskii2008newHigh,1,fluorine-doped oxyarsenide LaO 1-x F x FeAs
468,ivanovskii2008newHigh,2,fluorine- doped iron and lanthanum oxyarsenide LaO 1Àx F x FeAs
469,ivanovskii2008newHigh,5,LaO 1Àx F x FeAs
470,ivanovskii2008newHigh,6,fluorine-doped samarium oxyarsenide SmO 1Àx F x FeAs
471,ivanovskii2008newHigh,6,NdO 1Àx FeAs
472,ivanovskii2008newHigh,6,SmO 1Àx FeAs
473,ivanovskii2008newHigh,8,Ba 1Àx K x Fe 2 As 2
474,ivanovskii2008newHigh,8,Sr 1Àx Cs x Fe 2 As 2
475,ivanovskii2008newHigh,8,LiFeAs
476,ivanovskii2008newHigh,8,Li 0:6 FeAs
477,ivanovskii2008newHigh,14,NdO 1Àx F x FeAs
478,ivanovskii2008newHigh,18,SmO 0:7 F 0:3 FeAs
479,ivanovskii2008newHigh,19,LaO 1Àx F x FeAs
480,ivanovskii2008newHigh,45,LaOFeP
481,ivanovskii2008newHigh,45,LaONiP
482,ivanovskii2008newHigh,45,LaFe 4 P 12
